"course_title","price","num_subscribers","num_reviews","num_lectures","content_duration","is_paid.f","level.f","subject.f"
"Comprehensive Guide to Financial Markets, Investing &Trading",60,4187,600,79,9,"True","Beginner Level","Business Finance"
"Stock Trading Ninja: Complete System For Trading Success",155,9445,497,38,4.5,"True","All Levels","Business Finance"
"Hedge and Mutual Fund Careers: The Complete Guide",200,3255,340,102,8.5,"True","All Levels","Business Finance"
"Algorithmic Trading In Forex: Create Your First Forex Robot!",185,7941,713,40,6.5,"True","All Levels","Business Finance"
"The Power Modeling Bootcamp: Advanced Excel in 10 Days",150,1680,158,76,5.5,"True","All Levels","Business Finance"
"Options Trading Basics (3-Course Bundle)",180,10100,985,45,11,"True","Beginner Level","Business Finance"
"How to Win 97% of Your Options Trades",125,5050,461,26,1.5,"True","All Levels","Business Finance"
"How I Make Consistent Returns Trading Options",200,2310,162,26,3.5,"True","All Levels","Business Finance"
"Forex Strategies: Kelly Criterion, Larry Williams and more!",185,5528,506,32,3,"True","All Levels","Business Finance"
"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",125,6451,237,28,5,"True","All Levels","Business Finance"
"Options Trading Introduction: Day Trade Stock Options",95,12394,218,30,2.5,"True","Beginner Level","Business Finance"
"The Almost Perfect Options Trading Strategy System - Unique",200,1793,18,15,1,"True","All Levels","Business Finance"
"Forex Trading -  Learn to Trade Forex Like the Banks",20,3223,240,23,1,"True","All Levels","Business Finance"
"Learn to Trade for Profit:Trading with Japanese Candlesticks",60,16385,273,45,3,"True","Beginner Level","Business Finance"
"The Most Powerful Options Spread Trading Front Ratio Spread",200,1487,16,18,2,"True","All Levels","Business Finance"
"What Finance Job is for You? Explanation of 14 Finance Roles",200,2951,232,60,4,"True","All Levels","Business Finance"
"The Blueprint for Successful Stock Trading",120,2697,331,15,1,"True","All Levels","Business Finance"
"Trading for Beginners - Intermediate Level",150,3979,40,39,5,"True","Beginner Level","Business Finance"
"Start Trading Stocks Using Technical Analysis!",25,3190,244,45,4,"True","All Levels","Business Finance"
"Learn How to Set Up an Incubator Hedge Fund - Step-by-Step",200,1406,71,54,1.5,"True","Expert Level","Business Finance"
"VPS for Forex Trading - Protect Your Forex Robots",160,4252,225,24,2,"True","All Levels","Business Finance"
"Introduction to Accounting: The Language of Business",20,11958,370,134,11.5,"True","Beginner Level","Business Finance"
"Basic Excel for Basic Bookkeeping and Accounting",95,7743,340,33,1.5,"True","Beginner Level","Business Finance"
"Using 'The Greeks To Understand Options""",50,2134,55,5,1,"True","All Levels","Business Finance"
"Trading Options For Consistent Returns: Calendar Spreads",200,1214,69,20,1.5,"True","All Levels","Business Finance"
"How to Create Your Personal Budget",20,3870,53,10,1,"True","All Levels","Business Finance"
"The Complete Value Investing Course: A Proven Approach",200,2146,212,49,4.5,"True","All Levels","Business Finance"
"FOREX Trading with Price Action",195,484,57,19,1,"True","Beginner Level","Business Finance"
"Emini ES Futures - Advanced Non Directional Options Trading",200,1057,15,14,1.5,"True","All Levels","Business Finance"
"Forex Trading - Advanced Fundamental Analysis",20,1754,100,49,2.5,"True","Intermediate Level","Business Finance"
"How To Invest With Tiny Capital In Stocks ?",20,1239,5,6,0.7,"True","Beginner Level","Business Finance"
"Learn How To Successfully Trade Stocks: In 5 Simple Steps",95,2493,276,108,9.5,"True","All Levels","Business Finance"
"Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader",150,2602,402,57,5,"True","Beginner Level","Business Finance"
"Intermediate Options trading concepts for Stocks and Options",40,2000,30,9,1,"True","All Levels","Business Finance"
"Options Trading 101: The Basics",0,1514,66,11,0.55,"False","Beginner Level","Business Finance"
"Practical Accounts APP Overview",20,1361,1,14,3,"True","Intermediate Level","Business Finance"
"Bitcoin Profits for Beginners",100,61,18,30,1.5,"True","Beginner Level","Business Finance"
