"course_title","price","num_subscribers","num_reviews","num_lectures","content_duration","is_paid.f","level.f","subject.f"
"Investment Portfolio Analysis with Excel",50,154,7,39,9,"True","All Levels","Business Finance"
"Introduction to the CFA Program",0,4248,66,6,1,"False","Beginner Level","Business Finance"
"Chartered Financial Analyst (CFA) - Level 1 - FRA",30,517,5,17,14.5,"True","Beginner Level","Business Finance"
"Excel 4 Accounting & Bookkeeping - Master Lookup Functions",35,2638,140,12,1,"True","All Levels","Business Finance"
"Cashflow Management for Small Businesses: A How To Guide",25,2914,11,5,0.616666666666667,"True","All Levels","Business Finance"
"Forex Basics (Professional Course Level)",20,6050,34,25,1.5,"True","All Levels","Business Finance"
"Advanced Butterfly Spreads for Options Income Strategies",60,16,1,8,1,"True","Expert Level","Business Finance"
"The Holy Grail of Auto Trading Forex Futures Stocks Revealed",50,3917,45,7,1,"True","All Levels","Business Finance"
"IPO Fundamentals",20,1122,13,6,1,"True","Beginner Level","Business Finance"
"Finance for Non-Finance: Learn Quick and Easy",20,4158,51,30,2.5,"True","Beginner Level","Business Finance"
"Advanced Options Trading Course",40,1252,2,6,0.533333333333333,"True","Intermediate Level","Business Finance"
"Statistics - Measures of Dispersion for CA / CS / CFA exams",20,5108,9,13,1,"True","All Levels","Business Finance"
"Work From Home Online (Part/Full) : Trade Forex 4 Beginners",45,2981,23,17,1,"True","Beginner Level","Business Finance"
"Financial Ratios Using Excel",100,1223,14,29,1,"True","Beginner Level","Business Finance"
"How To Start Trading Penny Stocks In 10 Easy Steps 2017",50,7750,58,15,1.5,"True","All Levels","Business Finance"
"How to Copy the Best Traders on Etoro",90,564,9,41,3.5,"True","All Levels","Business Finance"
"How To Set Up A Limited Company In The UK",0,2075,69,11,0.733333333333333,"False","Beginner Level","Business Finance"
"Forex trading made simple",100,45,4,31,1.5,"True","All Levels","Business Finance"
"Financial and Business Simulation with Microsoft Excel",20,44,5,8,0.516666666666667,"True","Expert Level","Business Finance"
"10.  Bonds and Bond Pricing",20,308,4,10,1,"True","All Levels","Business Finance"
"Professional Risk Manager (PRM) Certification: Level 3",50,55,5,22,12.5,"True","All Levels","Business Finance"
"Stocks: Quick Method to get started Investing",0,718,13,7,1,"False","Beginner Level","Business Finance"
"The Fundamentals Of Finance For Non-Finance Professionals",40,206,3,7,1.5,"True","All Levels","Business Finance"
"Forex - Top Equity Management Strategy",20,18,4,13,0.583333333333333,"True","All Levels","Business Finance"
"The Truths about (in)secure Retirement",200,86,6,32,4.5,"True","Intermediate Level","Business Finance"
"Learn How to File Taxes for Uber and Lyft Drivers",40,294,5,25,2,"True","All Levels","Business Finance"
"Learn the Basics of the Wave Principle:",30,27,4,10,1.5,"True","Beginner Level","Business Finance"
"MasterClass-Japanese &  Heiken Ashi CandleStick Patterns",195,375,10,26,3.5,"True","All Levels","Business Finance"
"Start Trading Stocks Using Technical Analysis! Part 2",95,94,11,25,2,"True","All Levels","Business Finance"
"Introduction to Corporate Finance (Mergers & Acquisitions)",0,2080,83,30,1.5,"False","Beginner Level","Business Finance"
"Forex & Financial Market Trading Tutorial- Online Strategies",0,3137,30,69,9,"False","All Levels","Business Finance"
"Learn to trade Candlestick Patterns",20,155,23,22,1.5,"True","Intermediate Level","Business Finance"
"High-Frequency Trading #2: Market Structure & Instruments",50,1732,11,12,0.683333333333333,"True","All Levels","Business Finance"
"The Art Of Financial Valuation With Certificate",20,3372,12,12,2,"True","All Levels","Business Finance"
"Sensitivity & Scenario Analysis for CA / CFA / CPA Exams",20,2185,3,13,2,"True","All Levels","Business Finance"
"Economics:   Competition, Elasticity, a little Game Theory",50,1008,14,42,6,"True","All Levels","Business Finance"
"Quantitative Trading Analysis with Python",50,256,17,49,5.5,"True","All Levels","Business Finance"
"Invest Like a Pro!",200,1173,22,15,2.5,"True","Beginner Level","Business Finance"
"Options Trading Essentials: The ULTIMATE Guides",0,1352,6,20,4,"False","All Levels","Business Finance"
"ACCA FA1 Recording Financial Transactions",50,49,8,27,3.5,"True","Beginner Level","Business Finance"
"CFA® Level 1 2014 – Portfolio Management",40,124,2,10,2,"True","All Levels","Business Finance"
"Essentials Of Swing Trading Stocks",20,105,9,5,1,"True","All Levels","Business Finance"
"Small Business and Managerial Accounting Training Tutorial",20,117,3,71,3.5,"True","Beginner Level","Business Finance"
"Use Crowdfunding Effectively With Indiegogo and Kickstarter",0,6533,32,9,2,"False","All Levels","Business Finance"
"The Complete Litecoin Crypto Currency Bootcamp",20,7,3,24,1,"True","All Levels","Business Finance"
"Bank Reconciliation & VAT on Excel",20,30,5,19,1.5,"True","All Levels","Business Finance"
"Commodity Futures Day Trading Strategies",95,91,5,28,5,"True","All Levels","Business Finance"
"Learn to invest in the Stock Market",40,28,5,14,1,"True","Beginner Level","Business Finance"
"FX Commodity Chart Trading Patterns for Success",50,83,10,15,2.5,"True","All Levels","Business Finance"
"Forex Elite Trading",85,623,7,22,6,"True","All Levels","Business Finance"
"How to Invest in Startups - Expert Reveals Winning Secrets.",0,1625,5,145,8.5,"False","All Levels","Business Finance"
"Kickstarter success in 5 easy steps",20,0,0,12,0.516666666666667,"True","All Levels","Business Finance"
"Understanding Financial Statements",25,0,0,10,1,"True","All Levels","Business Finance"
"Planning and Executing a Financial Statement Audit",50,0,0,9,2,"True","Intermediate Level","Business Finance"
"The Latest Updates 2016 Financial Accounting Standards Board",50,1,0,9,2,"True","Intermediate Level","Business Finance"
"How to achieve personal transformation",20,0,0,10,0.533333333333333,"True","All Levels","Business Finance"
"Basic Bookkeeping",35,0,0,12,0.733333333333333,"True","Beginner Level","Business Finance"
"Credit concepts and checklist for bankers, credit analyst",20,0,0,10,2.5,"True","Beginner Level","Business Finance"
"Practical Film Financing: Finding & Pitching Investors",100,0,0,9,1,"True","Beginner Level","Business Finance"
"Ratio Analysis for Financial Statements",50,0,0,6,2,"True","Beginner Level","Business Finance"
"60 Minutes to Fundamental Accounting Skills",75,0,0,9,2.5,"True","Beginner Level","Business Finance"
"Essentials of money value: Get a financial Life !",20,0,0,20,0.616666666666667,"True","All Levels","Business Finance"
"Introduction to Forex Trading Business For Beginners",20,0,0,27,1.5,"True","Beginner Level","Business Finance"
"Backspreads, Diagonals and Butterflies - Advanced Strategies",60,737,41,10,2,"True","Expert Level","Business Finance"
"Trade Forex 13 Patterns - Golden Ratios Secret Revealed",200,554,63,44,4,"True","All Levels","Business Finance"
"Crystal ball trading - foresee price with seasonal patterns",145,807,19,23,6,"True","All Levels","Business Finance"
"Weekly Options and study of Options expiration dynamics",60,779,56,6,1,"True","Expert Level","Business Finance"
"Cost Accounting Basics (Professional Course Level)",20,1777,11,23,1,"True","Beginner Level","Business Finance"
"Learn to Reliably Invest In The Stock Market",50,841,14,19,0.616666666666667,"True","All Levels","Business Finance"
"Hedge Fund Trading Systems Part Two - Stocks & ETFs",200,56,10,23,2.5,"True","Expert Level","Business Finance"
"Stock Market Option Trading: How Sell Options For Premium",200,1909,8,19,2,"True","Intermediate Level","Business Finance"
"Straddles and Strangles - Volatility moves in any direction",60,775,54,11,1.5,"True","Expert Level","Business Finance"
"Debt Collection Management: Get Paid On Time EVERY TIME!",20,1255,8,38,3,"True","All Levels","Business Finance"
"Learn about it",20,1193,24,27,1.5,"True","All Levels","Business Finance"
"Trading: Basics of Trading for Beginners",140,1309,4,20,1.5,"True","Beginner Level","Business Finance"
"Options Spreads Bundle-  the heart of Options Trading",120,623,43,8,2.5,"True","Intermediate Level","Business Finance"
"Trade the News in Forex: EA Robot Included",200,276,11,11,0.566666666666667,"True","All Levels","Business Finance"
"Investment Portfolio Analysis with R",50,314,38,37,6.5,"True","All Levels","Business Finance"
"Basics of Economics For Beginners A to Z - A Complete Course",170,1942,5,24,1.5,"True","Beginner Level","Business Finance"
"Seeing the Big Picture: Understanding Financial Statements",50,885,69,14,0.716666666666667,"True","All Levels","Business Finance"
"Financial Modeling for Professionals in 1 Day!",200,226,12,29,4.5,"True","Intermediate Level","Business Finance"
"Create Your Own Automated Stock Trading Robot In EXCEL!",150,461,45,44,5,"True","All Levels","Business Finance"
"FOREX: From Zero To Hero",150,152,27,26,3,"True","All Levels","Business Finance"
"Learn Call Options and Put Options - Introduction to Options",60,1017,74,20,3,"True","Beginner Level","Business Finance"
"1. Principles of Simple Interest ",20,1074,6,13,1,"True","All Levels","Business Finance"
"Double Entry Bookkeeping",50,440,17,10,1,"True","Beginner Level","Business Finance"
"MQL5 Tutorial Bootcamp",20,978,7,13,0.533333333333333,"True","Beginner Level","Business Finance"
"Succeed at Options Even If You Don't Know Where to Start",200,36,1,12,1.5,"True","All Levels","Business Finance"
"Buying, Selling, and Storing Precious Metal",20,74,1,14,1,"True","All Levels","Business Finance"
"Accounting Skills for Managers",20,78,3,10,1.5,"True","Beginner Level","Business Finance"
"Analysis and Evaluation of Economic Feasibility of Projects",100,10,1,8,1,"True","Intermediate Level","Business Finance"
"Technical Analysis: Understanding Price Action",45,39,6,37,3,"True","All Levels","Business Finance"
"Bitcoin For Beginners",50,37,3,22,4,"True","Beginner Level","Business Finance"
"IAS 16-Property,Plant and Equipment ",0,2166,38,20,3,"False","All Levels","Business Finance"
"Basel II",50,78,6,57,3.5,"True","All Levels","Business Finance"
"Forex Trading Plan",50,21,3,24,0.7,"True","All Levels","Business Finance"
"Financial Modeling 101",0,1086,37,5,0.616666666666667,"False","Beginner Level","Business Finance"
"Learn Financial Modeling from Scratch - Part1",50,7,4,29,3.5,"True","All Levels","Business Finance"
"Introduction to Small Business Accounting Training Tutorial",25,168,9,75,3.5,"True","Beginner Level","Business Finance"
"Learn Basic Concepts of Economics Step by Step - Complete",150,2801,6,25,1.5,"True","All Levels","Business Finance"
"Introduction to Digital Payments ",0,12217,351,17,1,"False","Beginner Level","Business Finance"
"The Beginner's Guide to the Futures and Options Trading",0,6185,138,20,3,"False","All Levels","Business Finance"
"Bitcoin Investing: The Complete Buy & Hold Strategy",25,477,70,41,4,"True","All Levels","Business Finance"
"Financial Modeling in Excel for Startups",50,1334,86,54,6,"True","Beginner Level","Business Finance"
"Learn to Trade Forex Naked Price Action Big Shadow Trade",0,5407,192,11,1,"False","Intermediate Level","Business Finance"
"Forex Trading For Beginners ",0,9483,183,22,2,"False","Beginner Level","Business Finance"
"Build a Trading Comps Valuation Model",50,1032,60,55,7,"True","All Levels","Business Finance"
"The Advanced Forex Course for Smart Traders",0,8236,144,25,5,"False","All Levels","Business Finance"
"Cost Accounting Overheads (Professional Course Level)",20,2383,6,19,2.5,"True","All Levels","Business Finance"
"Beginners Guide to Stock Market Investing",0,3283,109,42,2.5,"False","Beginner Level","Business Finance"
"Financial Management Capital Market Instruments",25,2650,5,17,1,"True","Beginner Level","Business Finance"
"NPV and IRR Techniques for CA / CFA / CPA Exams",20,1551,5,55,7.5,"True","Beginner Level","Business Finance"
"Commercial Credit Analysis",50,545,48,42,7.5,"True","All Levels","Business Finance"
"Essential Finance For Managers",25,663,10,79,5.5,"True","All Levels","Business Finance"
"Bitcoin for Accountants",0,3519,102,6,1,"False","Beginner Level","Business Finance"
"ProTrader -  Advanced Technical Analysis",125,825,11,34,2,"True","All Levels","Business Finance"
"Binary Options Masterclass",200,70,11,16,2,"True","All Levels","Business Finance"
"188% Profit in 1Year - Forex ALGO Robot Trading no indicator",120,357,71,20,2,"True","All Levels","Business Finance"
"Financial Accounting, its Cycle, Statements & Analysis",20,853,4,35,5,"True","Beginner Level","Business Finance"
"Yield Curve Dynamics",50,397,24,19,3,"True","All Levels","Business Finance"
"Value Investing and Stock Market Fundamentals",195,74,8,17,3,"True","Beginner Level","Business Finance"
"Media Training for Financial Service Professionals",20,1254,2,64,7,"True","All Levels","Business Finance"
"Learn the Forex Naked Price Action Pogo Trade",60,89,4,10,1,"True","Intermediate Level","Business Finance"
"Forex - Price action Reversal Strategy",20,38,6,16,1,"True","All Levels","Business Finance"
"Budget preparation for an EU project proposal",50,18,4,5,1,"True","Intermediate Level","Business Finance"
"Corporate Finance and Alternative Investment for CFA L1",20,103,3,27,4.5,"True","All Levels","Business Finance"
"Don't Let Your Customers Run Your Business",50,7,3,28,2.5,"True","Intermediate Level","Business Finance"
"Stock Trading: Insider Tips For Determining Market Direction",95,104,1,11,1,"True","All Levels","Business Finance"
"TopTrader Academy - Complete Options Course",150,42,1,11,3,"True","All Levels","Business Finance"
"Working Capital Management for Entrepreneurs",20,507,5,15,1,"True","Expert Level","Business Finance"
"Learn Quickbooks to maintain books properly",20,241,5,26,2.5,"True","Beginner Level","Business Finance"
"CFA Level I Foundation: Introduction to Financial Reporting",50,226,5,13,5.5,"True","Beginner Level","Business Finance"
"Fixed Income Valuation and Analysis, CFA L2",20,50,6,12,3,"True","All Levels","Business Finance"
"Corporation Tax Returns UK",50,100,23,25,2,"True","All Levels","Business Finance"
"Trading For Busy People",50,99,12,26,3,"True","All Levels","Business Finance"
"Basics of Trading",40,99,17,27,1,"True","Beginner Level","Business Finance"
"CFP - Introduction to Financial Planning",30,1192,12,38,12,"True","Beginner Level","Business Finance"
"Investment Portfolio Analysis with Python",50,209,13,37,7,"True","All Levels","Business Finance"
"Day Trading Market Structure Signals",0,5529,90,5,2,"False","All Levels","Business Finance"
"Professional Bookkeeping and Accounting 3: Double Entry ",35,81,8,33,1,"True","All Levels","Business Finance"
"Accounting Basics by Hector Garcia, CPA",0,1924,120,5,1,"False","Beginner Level","Business Finance"
"Stock Markets: How I Became Rich By Changing How I Trade",20,646,6,17,1,"True","All Levels","Business Finance"
"Learn About Bitcoin and Bitcoin Mining",20,520,10,9,0.533333333333333,"True","Beginner Level","Business Finance"
"Take Control By Learning The Stock Market Now",30,1440,0,21,1,"True","Beginner Level","Business Finance"
"Cost Accounting and Financial Management - A Complete Study",150,452,14,444,45,"True","All Levels","Business Finance"
"Learn Global Macro Trading & Investing for Retail Investor",75,178,16,27,1.5,"True","All Levels","Business Finance"
"Energiespar-Formel // Mehr Geld durch Wasser sparen Zuhause",50,21,2,54,1.5,"True","All Levels","Business Finance"
"high swing - كورس لتعليم جميع مراحل احتراف تداول الفوركس",100,12,4,17,2.5,"True","Intermediate Level","Business Finance"
"TRADER BOT: Introdução à Linguagem MQL5",20,209,33,33,70,"True","All Levels","Business Finance"
"财务分析与估值建模入门",0,505,43,10,1.5,"False","Beginner Level","Business Finance"
"Aprende desde cero a operar el mercado de divisas FOREX",90,16,4,24,4,"True","All Levels","Business Finance"
"Cómo usar Metatrader 4 para hacer trading?",20,25,1,25,6,"True","All Levels","Business Finance"
"Zoho Books Gestion Financière d'Entreprise pas à pas",0,229,0,33,2,"False","All Levels","Business Finance"
"Aprende a llevar la contabilidad de forma informatizada",25,6,1,27,4.5,"True","Beginner Level","Business Finance"
"Psicología del trading",20,1,1,6,0.6,"True","All Levels","Business Finance"
"La costruzione del budget di una proposta comunitaria",50,10,1,5,1,"True","Intermediate Level","Business Finance"
"Erfolgreich als Signalgeber/in, per Social- und Copytrading",60,1,1,33,6,"True","All Levels","Business Finance"
"Aprenda  a Investir",20,34,4,9,8,"True","All Levels","Business Finance"
"Teeter-Totter Accounting",90,0,0,12,1,"True","Beginner Level","Business Finance"
"beginning accounting",20,0,0,12,0.633333333333333,"True","Intermediate Level","Business Finance"
"Stop Creditors from Harassing you and Avoid Bankruptcy",20,0,0,7,0.616666666666667,"True","Beginner Level","Business Finance"
"Learn to trade using technical analysis",50,0,0,6,0.533333333333333,"True","Intermediate Level","Business Finance"
"How to Invest Using ETFs from Former Wall Street Trader",200,0,0,10,2,"True","All Levels","Business Finance"
"Workshop on Banking Credit Analysis Process",100,0,0,7,1.5,"True","All Levels","Business Finance"
"The Cuckoo Strategy to get European Funding",160,0,0,6,1,"True","All Levels","Business Finance"
"Accounting - The 6 most important rules you must learn",20,0,0,9,1,"True","All Levels","Business Finance"
"Mutual Funds for Investors in Retirement Accounts",20,0,0,0,0,"True","All Levels","Business Finance"
"Free Ways to Create Passive Income Online",25,0,0,27,1,"True","Beginner Level","Business Finance"
"Understanding Financial Statements",25,0,0,10,1,"True","All Levels","Business Finance"
"The Cash Flow Statement - An Introduction",50,0,0,10,1.5,"True","Beginner Level","Business Finance"
"Options Foundation - Time Decay, Implied Volatility, Greeks",60,459,25,14,3,"True","Beginner Level","Business Finance"
"Buying Call and Put Options - Options beginner strategies",60,266,20,14,3,"True","Intermediate Level","Business Finance"
"How To Trade RSI Pullback Strategy: Entry To Exit (Forex)",150,104,10,21,2,"True","All Levels","Business Finance"
"Valuation of Goodwill for CA / CFA / CMA Exams",20,1509,0,9,0.716666666666667,"True","All Levels","Business Finance"
"Forex - Catch the Big Market Moves in Forex",20,212,25,14,1.5,"True","Intermediate Level","Business Finance"
"SEASON 2 MQL4 Tutorial Bootcamp - Metatrader4 Trading Robots",25,462,18,34,1,"True","All Levels","Business Finance"
"Intermediate Accounting 1: Easy. Fast. Simple!",200,90,12,35,2.5,"True","Intermediate Level","Business Finance"
"Global Macro Investing - Take Control Of The World's Markets",30,153,41,27,2,"True","Intermediate Level","Business Finance"
"How to Read a Balance Sheet",50,1055,21,64,3.5,"True","Beginner Level","Business Finance"
"Credit Repair from a Financial Institution",20,157,13,9,2.5,"True","All Levels","Business Finance"
"The Binary Institute -  Binary Options Trading Course",200,103,25,12,2.5,"True","All Levels","Business Finance"
"Mental Models For Wall Street - Become A Better Trader",0,1067,50,35,2,"False","All Levels","Business Finance"
"株式投資に向く性格に変えるための心理学を学ぶ",20,58,11,28,1.5,"True","All Levels","Business Finance"
"Matemática Financeira com HP12C e MS Excel",20,74,17,30,4.5,"True","Beginner Level","Business Finance"
"¡Triunfar en La Bolsa de Valores No Requiere de Experiencia!",0,338,7,6,1,"False","Beginner Level","Business Finance"
"Cómo Crear Políticas Contables bajo NIIF para PYMES",20,27,5,6,1,"True","All Levels","Business Finance"
"Finanzas Personales para Vivir Libre de Deudas",75,76,13,77,6,"True","Beginner Level","Business Finance"
"Finanzas personales: Logrando la Libertad Financiera",30,27,5,12,2,"True","Beginner Level","Business Finance"
"株式投資で本当のテクニカル分析ができるようになる",20,68,10,45,2.5,"True","Intermediate Level","Business Finance"
"Aktiver Vermögensaufbau mit ETF",20,112,18,33,2,"True","Beginner Level","Business Finance"
"Socorro! Preciso Organizar as Minhas Finanças!",20,72,17,37,1.5,"True","All Levels","Business Finance"
"Curso Completo de Opciones Binarias: Estrategias 90% Acierto",145,335,16,26,1.5,"True","All Levels","Business Finance"
"Le basi del Trading",200,22,5,18,3.5,"True","All Levels","Business Finance"
"【個人事業主向け】青色申告の記帳を自力で行うための複式簿記の基本",30,41,3,37,3,"True","Beginner Level","Business Finance"
"Profit and Loss Account for bankers and credit analysts",20,1,0,31,7.5,"True","Beginner Level","Business Finance"
"Business Accounts For Managers",30,16,0,23,3,"True","Beginner Level","Business Finance"
"Black Scholes Option Pricing Model",25,3,0,10,1,"True","Beginner Level","Business Finance"
"Chief Wealth Officer",45,4,0,7,1,"True","Beginner Level","Business Finance"
"Practical Accounts Training A",35,2,0,127,31.5,"True","Intermediate Level","Business Finance"
"International Trade and New Geographic Economy",20,12,1,6,0.533333333333333,"True","All Levels","Business Finance"
"2. Principles of Simple Interest - advanced problems",20,10,1,12,1.5,"True","Intermediate Level","Business Finance"
"School of Raising Capital: Agile Financial Modeling",20,12,1,11,1.5,"True","All Levels","Business Finance"
"How to Read Financial Statements",20,5,2,59,2,"True","Beginner Level","Business Finance"
"Intro. to Asset-Backed Securities, CFA Level I,  2017 Prep",20,1,0,13,3,"True","All Levels","Business Finance"
"Reach Your Personal Financial Goals the Easy Way (2017 UK)",95,2,0,59,4.5,"True","All Levels","Business Finance"
"Bitesize Bookkeeping for busy people",20,9,0,13,1.5,"True","Beginner Level","Business Finance"
"Do Your Own Accounts",35,42,2,13,1.5,"True","All Levels","Business Finance"
"CFA Level 1 - Derivatives",30,110,6,25,4,"True","All Levels","Business Finance"
"Accounting for everyone! ",35,420,2,14,1,"True","Beginner Level","Business Finance"
"Stock Fundamental Analysis with Excel",50,206,13,50,10,"True","All Levels","Business Finance"
"Financial Accounting For Beginners",60,164,3,22,1.5,"True","All Levels","Business Finance"
"Trading: How Transformative Learning Drives Expertise",30,69,2,16,1,"True","All Levels","Business Finance"
"Manual Bookkeeping",20,28,2,26,2.5,"True","Intermediate Level","Business Finance"
"Numeracy skills in business and everyday life:Think and Deal",20,90,4,15,0.633333333333333,"True","Beginner Level","Business Finance"
"Financial Modelling in Excel Step by Step",20,13,2,17,1.5,"True","Intermediate Level","Business Finance"
"Straight From Business School: Create Financial Statements",20,31,2,5,1,"True","Beginner Level","Business Finance"
"How To Pay Less Tax (UK version)",50,13,2,98,0.516666666666667,"True","All Levels","Business Finance"
"Interpreting financial statements",0,2119,111,54,2,"False","All Levels","Business Finance"
"Forex trading with binary options",25,136,28,21,3,"True","All Levels","Business Finance"
"Triple P Trading Course",20,797,15,16,3,"True","All Levels","Business Finance"
"Cost Accounting - A Comprehensive Study",180,503,43,286,29.5,"True","All Levels","Business Finance"
"How to become a successful day trader",95,1150,6,27,2.5,"True","All Levels","Business Finance"
"Essentials of Finance and Investment in 2 hours",20,1403,6,14,2,"True","Beginner Level","Business Finance"
"Public Speaking: You Can Give Great Financial Presentations",20,916,6,23,6.5,"True","All Levels","Business Finance"
"Professional Trading - Consistent Profits with Low Risk!",20,627,5,27,1,"True","All Levels","Business Finance"
"Trading for winning",200,168,7,27,2,"True","All Levels","Business Finance"
"Succeed in Stocks Even if you Don't Know Where to Start",0,2554,20,10,1,"False","Beginner Level","Business Finance"
"Options Basics & Trading With Small Capital! - Level 1",30,120,17,19,2,"True","Beginner Level","Business Finance"
"Forex trading Basic to advance Professional Level course",20,750,13,28,2.5,"True","All Levels","Business Finance"
"Day Trading in Stocks: Strategies for Beginner Investors",50,217,19,9,2,"True","All Levels","Business Finance"
"Learn to Trade Forex Big U-Turn Trade",50,106,13,12,1,"True","Beginner Level","Business Finance"
"Technical Analysis Primer for trading Stocks, Bonds & Forex",50,397,4,36,3,"True","Beginner Level","Business Finance"
"DIY: Reduce Unpaid Federal Tax thru  IRS Offer in Compromise",20,44,3,8,1,"True","All Levels","Business Finance"
"Stock Trading with this Strategy",50,30,3,6,1,"True","All Levels","Business Finance"
"The Psychology of Trading",20,95,3,20,1,"True","All Levels","Business Finance"
"Professional Forex Strategy+2 weeks for FREE trading alerts",95,55,9,15,1,"True","All Levels","Business Finance"
"Stock Trading Essentials for Day Traders",100,94,15,9,1,"True","All Levels","Business Finance"
"Basics of Finance and Budgeting",20,578,7,34,6,"True","Beginner Level","Business Finance"
"Portfolio Management CFA L1 2016",20,393,5,34,5,"True","All Levels","Business Finance"
"Trade Stocks, Forex & Financial Markets like a Professional",20,116,6,12,3,"True","All Levels","Business Finance"
"The Tax Advantaged Investor: A Guide to Legal Tax Reduction!",0,1888,42,25,2,"False","All Levels","Business Finance"
"The Smart Option Trader",45,412,19,74,13,"True","All Levels","Business Finance"
"Beginners Chart Patterns Trading for Penny Stocks",200,40,7,26,1.5,"True","Beginner Level","Business Finance"
"Financial Statements: Learn Accounting. Unlock the Numbers.",40,222,12,35,3,"True","Beginner Level","Business Finance"
"CFA® Level 1 2014 – Alternative Investments",30,831,1,13,2,"True","All Levels","Business Finance"
"Interest Rate Swaps",50,485,24,20,3.5,"True","All Levels","Business Finance"
"Financial Modelling for entrepreneurs",20,232,7,17,1,"True","All Levels","Business Finance"
"Economics - CFA Level 1 - 2014",20,135,20,24,4,"True","Beginner Level","Business Finance"
"Bookkeeping Made Simple",40,61,16,22,2.5,"True","All Levels","Business Finance"
"What is Bitcoin",20,61,3,27,5,"True","All Levels","Business Finance"
"Accounting for CA CPT Exams Part I",50,874,2,120,13.5,"True","All Levels","Business Finance"
"Raising Capital for Your Business",50,22,5,60,2.5,"True","All Levels","Business Finance"
"Silver, Gold, and Inflation",0,5597,76,11,1,"False","Beginner Level","Business Finance"
"Accounting Concepts For Technocrats",20,261,2,35,2.5,"True","Beginner Level","Business Finance"
"Beginner Financial Analysis: Invest Like Warren Buffett",50,83,4,19,0.683333333333333,"True","Beginner Level","Business Finance"
"Advance Technical Analysis",50,152,6,14,3.5,"True","Expert Level","Business Finance"
"The Everyday Investor: Building Wealth with Venture Capital",20,176,2,12,2.5,"True","Intermediate Level","Business Finance"
"QuickBooks Online : Inventory Management For Non-Finance",35,8,4,10,0.666666666666667,"True","All Levels","Business Finance"
"Law Matters",20,327,1,12,0.45,"True","Beginner Level","Business Finance"
"Learn to Trade for Profit: Finding Winning Stocks - Chinese",95,264,0,79,3,"True","All Levels","Business Finance"
"Financial Accounting Part 2 - Passing The Class",20,15,4,36,4.5,"True","Beginner Level","Business Finance"
"Simple Options Trading System",35,104,2,16,1.5,"True","Intermediate Level","Business Finance"
"Investments and Financial Markets",40,71,3,19,1.5,"True","Beginner Level","Business Finance"
"Legal Accounting",110,26,6,49,4,"True","All Levels","Business Finance"
"Term Loan Appraisal for bankers, credit analysts",20,11,2,28,6.5,"True","Beginner Level","Business Finance"
"Small Biz Doers' Guide to Small Biz Accounting + Bookkeeping",20,1294,7,58,5.5,"True","Beginner Level","Business Finance"
"Trade Show Samurai",95,32,7,7,0.516666666666667,"True","All Levels","Business Finance"
"Forex Harmonic Trading- With Multiple Forex Chart Examples",135,313,16,25,2.5,"True","All Levels","Business Finance"
"The Cost of Capital: The Key To Attract Venture Capitalists",50,635,4,6,0.683333333333333,"True","All Levels","Business Finance"
"Accounting for School Students",30,1311,2,12,1.5,"True","All Levels","Business Finance"
"Learn To Trade The Forex Naked Price Action Acapulco Trade",70,288,9,13,1,"True","Intermediate Level","Business Finance"
"Certificate in MYOB AccountRight Premier 2017 Course",200,97,18,29,3,"True","All Levels","Business Finance"
"Master The Psychology of Forex & Binary Options Trading",20,53,16,7,1,"True","Intermediate Level","Business Finance"
"Learn to Pick the Right Stock Broker Account",40,1102,3,14,0.566666666666667,"True","Beginner Level","Business Finance"
"Profit During Crashing Markets: A Step-by-Step Guide",195,57,11,18,1,"True","All Levels","Business Finance"
"Introduction to Futures & Options",50,694,35,27,4.5,"True","All Levels","Business Finance"
"Learn To Invest In 7 Steps",50,137,14,21,3,"True","Beginner Level","Business Finance"
"Sell like a Pro: Insider Secrets of Successful Selling!",115,12,1,25,2.5,"True","All Levels","Business Finance"
"3 Little Pigs: A Multiple Timeframe Forex Trading Strategy",20,18,0,6,1.5,"True","All Levels","Business Finance"
"6. Annuities Due and Deferred",20,170,0,16,1.5,"True","All Levels","Business Finance"
"CFA® Level 1 2014 – Quantitative Methods",50,119,0,27,5,"True","All Levels","Business Finance"
"IFRIC 13-Customer Loyalty Programmes (Revenue)",0,2058,22,6,0.6,"False","All Levels","Business Finance"
"FOREX Currency Trading For Beginners",25,35,2,28,4,"True","Beginner Level","Business Finance"
"Basic Technical Analysis",50,40,1,27,2.5,"True","Beginner Level","Business Finance"
"Forex:Trade Management & Psychology",150,13,0,19,2,"True","Intermediate Level","Business Finance"
"Working Capital assessment for bankers, credit analysts",20,4,0,29,7,"True","Beginner Level","Business Finance"
"CFA Level I Workshop 6: Alternatives, PM and Economics ",20,71,1,5,1,"True","All Levels","Business Finance"
"CFA Level I Workshop 3: Financial Reporting & Analysis II",20,71,1,5,1,"True","All Levels","Business Finance"
"How to trade in the Forex market",200,6,0,39,2.5,"True","Intermediate Level","Business Finance"
"Bookkeeping Practicals with Software",35,1,0,130,31.5,"True","Intermediate Level","Business Finance"
"8 Steps To Achieve Financial Freedom And Escape Debt",40,5,0,48,5.5,"True","Beginner Level","Business Finance"
"Trading Basics in 30 minutes",50,1,0,6,0.533333333333333,"True","Beginner Level","Business Finance"
"Technical Charting",20,4,1,6,1,"True","Intermediate Level","Business Finance"
"Profits Turbo",20,10,0,7,5.5,"True","Intermediate Level","Business Finance"
