"Name","Rating","Tags","Difficulty.f"
"Organic Solar Cells - Theory and Practice","4.6","['Physical Science and Engineering', 'Chemistry']","None"
"Introducción a la Calidad","4.6","['Business', 'Business Strategy']","None"
"Analytic Combinatorics","4.7","['Math and Logic', 'Math and Logic']","Intermediate Level"
"Supply chain management: Be global","4.8","['Business', 'Business Strategy']","Beginner Level"
"Практики управленческой аналитики в MS Excel","4.8","['Business', 'Business Essentials']","Intermediate Level"
"Introducción al mundo de las negociaciones","4.8","['Business', 'Business Essentials']","None"
"Desenvolvimento Ágil com Padrões de Projeto","4.7","['Computer Science', 'Software Development']","Intermediate Level"
"CAPSTONE: Your Leadership Challenge","4.5","['Business', 'Leadership and Management']","None"
"Learning Chinese : Start From Scratch (零到一學中文)","4.5","['Language Learning', 'Other Languages']","Beginner Level"
"Foundations of Teaching for Learning: Planning for Teaching and Learning","4.8","['Social Sciences', 'Education']","None"
"The Modern World, Part One: Global History from 1760 to 1910","4.8","['Arts and Humanities', 'History']","Beginner Level"
"Effective Problem-Solving and Decision-Making","4.3","['Business', 'Business Essentials']","None"
"Health for All Through Primary Health Care","4.7","['Health', 'Patient Care']","None"
"Обобщенные линейные модели","None","['Data Science', 'Probability and Statistics']","Intermediate Level"
"Introduction to Complex Analysis","4.8","['Math and Logic', 'Math and Logic']","Intermediate Level"
"Organizational Design and Management","4.7","['Business', 'Business Strategy']","Beginner Level"
"Internet of Things: Communication Technologies","4.5","['Computer Science', 'Computer Security and Networks']","None"
"Global Environmental Management","4.6","['Physical Science and Engineering', 'Environmental Science and Sustainability']","Intermediate Level"
"K-12 Blended & Online Learning","4.7","['Social Sciences', 'Education']","None"
"Inglés Empresarial: Gestión y Liderazgo","4.7","['Language Learning', 'Learning English']","None"
"خيارات لسانية لمحترفي الإعلام باللغة العربية","4.9","['Language Learning', 'Learning English']","Beginner Level"
"Introduction to Deep Learning","4.6","['Data Science', 'Machine Learning']","Advanced Level"
"Creative Writing: The Craft of Style","4.7","['Arts and Humanities', 'Music and Art']","None"
"Брендинг в инновациях - новая коммуникационная реальность","5","['Business', 'Marketing']","None"
"Recommender Systems:  Evaluation and Metrics","4.3","['Data Science', 'Machine Learning']","None"
