"Name","Rating","Tags","Difficulty.f"
"Anticipating Your Next Battle, in Business and Beyond","4.5","['Business', 'Business Strategy']","Beginner Level"
"Mastering Final Cut Pro","None","['Business', 'Business Essentials']","Beginner Level"
"Validity and Bias in Epidemiology","4.8","['Health', 'Public Health']","Intermediate Level"
"Valuation for Startups Using Discounted Cash Flows Approach","4.3","['Business', 'Finance']","Beginner Level"
"Writing in the Sciences","4.9","['Health', 'Basic Science']","Beginner Level"
"The Fundamentals of Computing Capstone Exam","4.8","['Computer Science', 'Software Development']","Intermediate Level"
"Introduction to Blockchain Technologies","4.8","['Business', 'Business Essentials']","Beginner Level"
"Recolección y exploración de datos","4.2","['Business', 'Business Strategy']","None"
"Основы поиска дела жизни. Часть 2. Что скрывается за вопросом ""Как найти себя?""","4.8","['Personal Development', 'Personal Development']","Beginner Level"
"The Global Financial Crisis","4.8","['Social Sciences', 'Economics']","None"
"How Things Work: An Introduction to Physics","4.7","['Physical Science and Engineering', 'Physics and Astronomy']","Intermediate Level"
"Country Level Economics: Macroeconomic Variables and Markets","4.2","['Business', 'Finance']","None"
"Riesgos y oportunidades empresariales en una economía globalizada","5","['Social Sciences', 'Economics']","Intermediate Level"
"El Valle de los Reyes","4.9","['Arts and Humanities', 'History']","Beginner Level"
"Introduction to CSS3","4.8","['Computer Science', 'Mobile and Web Development']","None"
"Software Design Threats and Mitigations","4.8","['Computer Science', 'Software Development']","Intermediate Level"
"Autodesk Certified Professional: Revit for Structural Design Exam Prep","4.8","['Physical Science and Engineering', 'Mechanical Engineering']","Advanced Level"
"Data Modeling and Regression Analysis in Business","4.3","['Business', 'Leadership and Management']","Intermediate Level"
"Learn to Speak Korean 1","4.9","['Language Learning', 'Other Languages']","Beginner Level"
"Writing for Young Readers: Opening the Treasure Chest","4.7","['Language Learning', 'Learning English']","None"
"Private Equity and Venture Capital","4.8","['Business', 'Finance']","None"
"The Role of Global Capital Markets","4.6","['Business', 'Finance']","None"
"Cómo entrenar a tus electrones 2: Diodos y Transistores","4.9","['Physical Science and Engineering', 'Electrical Engineering']","Intermediate Level"
"Finance for Non-Financial Managers","4.5","['Business', 'Finance']","Intermediate Level"
"Ideas from the History of Graphic Design","4.7","['Arts and Humanities', 'History']","Beginner Level"
"Applying Data Analytics in Finance","4.6","['Business', 'Leadership and Management']","Intermediate Level"
"Personality Types at Work","4.4","['Personal Development', 'Personal Development']","Beginner Level"
"Global Financial Markets and Instruments","4.6","['Business', 'Finance']","None"
"Engineering Design Process with Autodesk Fusion 360","4.7","['Physical Science and Engineering', 'Mechanical Engineering']","Advanced Level"
"My Favorite Lectures @ HKUST","None","['Social Sciences', 'Education']","Beginner Level"
"Computational Thinking for K-12 Educators: Conditional Loops and If Statements","None","['Social Sciences', 'Education']","Beginner Level"
"Advanced Interviewing Techniques","4.7","['Language Learning', 'Learning English']","None"
"Hybrid Cloud Infrastructure Foundations with Anthos","4.8","['Information Technology', 'Cloud Computing']","Intermediate Level"
"Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator","4.8","['Business', 'Business Essentials']","None"
"Accounting Analytics","4.5","['Business', 'Finance']","None"
"Engineering Life: Synbio, Bioethics & Public Policy","4.5","['Health', 'Public Health']","Intermediate Level"
"Introduction to Cybersecurity for Business","4.7","['Information Technology', 'Security']","Beginner Level"
"Financing and Investing in Infrastructure","4.8","['Business', 'Finance']","None"
"Fundamentos del marketing mix","4.5","['Business', 'Marketing']","Beginner Level"
"IA para todos","4.9","['Business', 'Business Strategy']","Beginner Level"
"Technical Support Fundamentals","4.8","['Information Technology', 'Support and Operations']","Beginner Level"
"Capstone: Analyzing (Social) Network Data","4.7","['Data Science', 'Data Analysis']","None"
"Jacobi modular forms: 30 ans après","4.8","['Math and Logic', 'Math and Logic']","Advanced Level"
"Better Business Writing in English","4.5","['Language Learning', 'Learning English']","Beginner Level"
"Sustainable Innovation for Subsistence Marketplaces","4.5","['Business', 'Leadership and Management']","Beginner Level"
"Systèmes d’Information Géographique - Partie 2","4.3","['Physical Science and Engineering', 'Environmental Science and Sustainability']","Beginner Level"
"التسويق في عالم رقمي","None","['Business', 'Marketing']","Beginner Level"
"Customer Analytics","4.5","['Business', 'Business Strategy']","None"
"Identifying Security Vulnerabilities in C/C++Programming","4.8","['Computer Science', 'Computer Security and Networks']","Intermediate Level"
"Energy, Environment, and Everyday Life","4.8","['Physical Science and Engineering', 'Environmental Science and Sustainability']","Beginner Level"
"Federal Taxation II: Property Transactions of Business Owners and Shareholders","4.9","['Business', 'Business Essentials']","Intermediate Level"
"Wharton Business Foundations Capstone","4.6","['Business', 'Business Essentials']","None"
"Gestion del alcance: el qué de la triple restricción","None","['Business', 'Leadership and Management']","Intermediate Level"
"Action-Driven Business Plan: From the ‘Classroom’ to the World","None","['Business', 'Entrepreneurship']","None"
"Introduction into General Theory of Relativity","4.6","['Physical Science and Engineering', 'Physics and Astronomy']","Advanced Level"
"World Design for Video Games","4.4","['Arts and Humanities', 'Music and Art']","Beginner Level"
"Introduction to UI Design","4.7","['Computer Science', 'Design and Product']","Beginner Level"
"Electrodynamics: Electric and Magnetic Fields","4.7","['Physical Science and Engineering', 'Electrical Engineering']","Advanced Level"
"Методологические проблемы психологии. Часть 2","None","['Health', 'Psychology']","Beginner Level"
"Music as Biology: What We Like to Hear and Why","4.2","['Health', 'Basic Science']","None"
"Writing Professional Email and Memos (Project-Centered Course)","4.3","['Business', 'Business Essentials']","None"
"Stanford Introduction to Food and Health","4.7","['Health', 'Nutrition']","Beginner Level"
"Creating Dashboards and Storytelling with Tableau","4.6","['Data Science', 'Data Analysis']","Beginner Level"
"Entrepreneurship 4: Financing and Profitability","4.8","['Business', 'Entrepreneurship']","None"
"Getting Started on Mainframe with z/OS Commands and Panels","4.8","['Information Technology', 'Data Management']","Intermediate Level"
"Serverless Data Analysis with Google BigQuery and Cloud Dataflow en Español","4.8","['Computer Science', 'Software Development']","Intermediate Level"
"Fundamentals of Immunology: Innate Immunity and B-Cell Function","4.7","['Health', 'Basic Science']","Intermediate Level"
"Culture-Driven Team Building Capstone","4.5","['Business', 'Leadership and Management']","Beginner Level"
"Economie du sol et de l'immobilier I","4.7","['Social Sciences', 'Economics']","Intermediate Level"
"Public Health in Humanitarian Crises 2","None","['Health', 'Public Health']","Beginner Level"
"Probabilistic Graphical Models 1: Representation","4.7","['Data Science', 'Machine Learning']","Advanced Level"
"Inclusión social de personas con discapacidad desde un enfoque de derechos.","None","['Health', 'Public Health']","Beginner Level"
"International Women's Health and Human Rights","4.9","['Health', 'Public Health']","Beginner Level"
"Journey Conversations: Weaving Knowledge and Action","4.8","['Physical Science and Engineering', 'Environmental Science and Sustainability']","None"
"Creating a Team Culture of Continuous Learning","4.6","['Business', 'Leadership and Management']","None"
"Organizational Leadership Capstone","4.7","['Business', 'Leadership and Management']","None"
"Becoming a changemaker: Introduction to Social Innovation","4.8","['Business', 'Entrepreneurship']","Beginner Level"
"Data Science Capstone","4.5","['Data Science', 'Data Analysis']","None"
"International Hospitality & Healthcare Services Marketing","4.6","['Business', 'Marketing']","None"
"Innovation: From Creativity to Entrepreneurship Capstone","4.3","['Business', 'Entrepreneurship']","Beginner Level"
"Introduction to Search Engine Optimization","4.6","['Business', 'Marketing']","None"
"Planning, Auditing and Maintaining Enterprise Systems","4.6","['Information Technology', 'Security']","Intermediate Level"
"Introduction to the Digital Advertising Landscape","4.8","['Business', 'Marketing']","Beginner Level"
"Lesson | Business English Skills: How to Write Effective Openings and Closings to Emails","None","['Language Learning', 'Learning English']","Intermediate Level"
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms","4.8","['Computer Science', 'Algorithms']","Intermediate Level"
"Negociación exitosa: Estrategias y habilidades esenciales (en español)","4.8","['Business', 'Business Essentials']","None"
"Modern & Contemporary American Poetry (“ModPo”)","4.9","['Arts and Humanities', 'Music and Art']","Beginner Level"
"Master Class for Corporate Entrepreneurs","4.5","['Business', 'Entrepreneurship']","Beginner Level"
"The Talmud: A Methodological Introduction","4.6","['Arts and Humanities', 'History']","None"
"Nutrición y obesidad: control de sobrepeso","4.8","['Health', 'Nutrition']","Beginner Level"
"Государственно-частное партнерство в инфраструктурном развитии России","4.9","['Business', 'Business Strategy']","Beginner Level"
"Expanding SEL","4.8","['Social Sciences', 'Education']","Advanced Level"
"Ecology: from cells to Gaia","4.3","['Health', 'Basic Science']","Intermediate Level"
"Practical SAS Programming and Certification Review","4.8","['Data Science', 'Data Analysis']","Intermediate Level"
"Text Retrieval and Search Engines","4.4","['Data Science', 'Data Analysis']","None"
"Financial Reporting Capstone","4.3","['Business', 'Business Essentials']","Intermediate Level"
"How to Validate your Startup Idea","4.4","['Business', 'Entrepreneurship']","None"
"The Neuromarketing Toolbox","4.4","['Business', 'Marketing']","Beginner Level"
"Desarrollo y Diseño de Videojuegos: Proyecto final","5","['Computer Science', 'Design and Product']","Intermediate Level"
"Exploring Light: Hands-on Activities and Strategies for Teachers","4.7","['Physical Science and Engineering', 'Physics and Astronomy']","Intermediate Level"
"Global Strategy II: Doing Business in The Global Economy","4.9","['Business', 'Business Strategy']","None"
"Patenting in Biotechnology","4.7","['Health', 'Basic Science']","Beginner Level"
"Elastic Cloud Infrastructure: Scaling and Automation 日本語版","4.7","['Information Technology', 'Cloud Computing']","Intermediate Level"
"Business Strategies for Emerging Markets","4.8","['Business', 'Business Strategy']","Intermediate Level"
"Análisis de Datos - Proyecto Final","4.3","['Business', 'Business Strategy']","None"
"Effective Communication in the Globalised Workplace - The Capstone","None","['Personal Development', 'Personal Development']","None"
"ГОСУДАРСТВЕННОЕ РЕГУЛИРОВАНИЕ ФИНАНСОВЫХ РЫНКОВ НА СОВРЕМЕННОМ ЭТАПЕ","None","['Business', 'Finance']","None"
"Entrepreneurship II: Preparing for Launch","4.8","['Business', 'Entrepreneurship']","None"
"Design and Build a Data Warehouse for Business Intelligence Implementation","4.6","['Data Science', 'Data Analysis']","None"
"How to finance your venture ?","3.5","['Business', 'Entrepreneurship']","Intermediate Level"
"Windows可视化程序设计","4.8","['Computer Science', 'Software Development']","None"
"Coding for Designers, Managers, & Entrepreneurs III","None","['Business', 'Entrepreneurship']","Beginner Level"
"Exploring ​and ​Preparing ​your ​Data with BigQuery","4.7","['Information Technology', 'Data Management']","Beginner Level"
"Predictive Modeling and Transforming Clinical Practice","None","['Health', 'Health Informatics']","Intermediate Level"
"AWS Fundamentals: Going Cloud-Native","4.7","['Information Technology', 'Cloud Computing']","Beginner Level"
"Metaliteracy: Empowering Yourself in a Connected World","3.6","['Personal Development', 'Personal Development']","Beginner Level"
"Firm Level Economics: Consumer and Producer Behavior","4.8","['Business', 'Finance']","None"
"Control of Nonlinear Spacecraft Attitude Motion","4.7","['Physical Science and Engineering', 'Physics and Astronomy']","Advanced Level"
"Experimental Methods in Systems Biology","4.5","['Health', 'Research']","None"
"中國古代歷史與人物：秦始皇（Qin Shi Huang)","5","['Arts and Humanities', 'History']","None"
"Interfacing with the Arduino","4.7","['Physical Science and Engineering', 'Electrical Engineering']","None"
"أساسيات مواقع الويب سريعة الاستجابة: البرمجة باستخدام HTML وCSS وJavaScript","4.7","['Computer Science', 'Mobile and Web Development']","None"
"Pensamiento Sistémico","4.7","['Personal Development', 'Personal Development']","None"
"Soul Beliefs: Causes and Consequences - Unit 2: Belief Systems","4.6","['Arts and Humanities', 'History']","None"
"Foundations of Professional Identity","4.8","['Business', 'Business Essentials']","Beginner Level"
"Cloud Security Basics","None","['Information Technology', 'Cloud Computing']","Beginner Level"
"Proyecto final de Músico moderno","4.7","['Arts and Humanities', 'Music and Art']","None"
"Core Concepts of Accounting – Numbers and People","4.9","['Business', 'Finance']","Intermediate Level"
"Aléatoire : une introduction aux probabilités - Partie 2","4.5","['Math and Logic', 'Math and Logic']","None"
"Global Arctic","5","['Social Sciences', 'Governance and Society']","Intermediate Level"
"Villes africaines: Mobilités et transports urbains","4.5","['Social Sciences', 'Governance and Society']","None"
"Impact from Digital Transformation: Full course","None","['Business', 'Leadership and Management']","Advanced Level"
"State Estimation and Localization for Self-Driving Cars","4.7","['Computer Science', 'Software Development']","Advanced Level"
"Algorithms, Part II","5","['Computer Science', 'Algorithms']","Intermediate Level"
"When Disaster Meets Conflict","None","['Arts and Humanities', 'Philosophy']","Intermediate Level"
"Journalism, the future, and you!","4.7","['Arts and Humanities', 'Music and Art']","Beginner Level"
"Making Sense of the News: News Literacy Lessons for Digital Citizens","4.8","['Social Sciences', 'Education']","Beginner Level"
"Econometrics: Methods and Applications","4.6","['Data Science', 'Probability and Statistics']","None"
"Essential Cloud Infrastructure: Foundation 日本語版","4.6","['Information Technology', 'Cloud Computing']","Intermediate Level"
"Introduction to Thermodynamics: Transferring Energy from Here to There","4.7","['Physical Science and Engineering', 'Mechanical Engineering']","Beginner Level"
"Subsistence Marketplaces","4.5","['Business', 'Leadership and Management']","Beginner Level"
"Kotlin for Java Developers","4.7","['Computer Science', 'Software Development']","Intermediate Level"
"Strategic Management - Capstone Project","4.6","['Business', 'Business Strategy']","None"
"Life, Health and Radiation","4.7","['Health', 'Basic Science']","None"
"Основы разработки на С++: черный пояс","5","['Computer Science', 'Software Development']","Intermediate Level"
"NoSQL systems","3.2","['Data Science', 'Data Analysis']","Intermediate Level"
"Principles of Game Design","4.4","['Computer Science', 'Design and Product']","None"
"Случайные графы","4.9","['Math and Logic', 'Math and Logic']","None"
"Introduction to Big Data","4.6","['Data Science', 'Data Analysis']","None"
"Психология межгрупповых отношений","4.9","['Social Sciences', 'Governance and Society']","None"
"Integrating Scripts for Scene Interactions","4.6","['Computer Science', 'Design and Product']","Intermediate Level"
"Financial Engineering and Risk Management Part I","4.6","['Business', 'Finance']","None"
"Vers l'infiniment grand - Voyages de l'infiniment grand à l'infiniment petit","4.8","['Physical Science and Engineering', 'Physics and Astronomy']","Beginner Level"
"Introduction to Forensic Science","4.8","['Health', 'Basic Science']","None"
"Sustainable Food Production Through Livestock Health Management","4.8","['Health', 'Animal Health']","Beginner Level"
"L'innovation managériale en pratique","4.5","['Business', 'Leadership and Management']","Beginner Level"
"Structural Equation Model and its Applications | 结构方程模型及其应用 (普通话)","4.8","['Data Science', 'Data Analysis']","None"
"Art & Inquiry: Museum Teaching Strategies For Your Classroom","4.7","['Social Sciences', 'Education']","None"
"Introduction to HTML5","4.7","['Computer Science', 'Mobile and Web Development']","None"
"Big Data Integration and Processing","4.4","['Data Science', 'Data Analysis']","Beginner Level"
"G Suite Security","4.7","['Computer Science', 'Computer Security and Networks']","Beginner Level"
"Fundamentos de agrotecnología","4.7","['Physical Science and Engineering', 'Environmental Science and Sustainability']","Beginner Level"
"Distributed Computing with Spark SQL","4.5","['Data Science', 'Machine Learning']","Intermediate Level"
"Information Security: Context and Introduction","4.6","['Computer Science', 'Computer Security and Networks']","Beginner Level"
"An Introduction to American Law","4.8","['Social Sciences', 'Law']","Beginner Level"
"Segurança de TI: Defesa Contra as Artes Obscuras do Mundo Digital","4.9","['Information Technology', 'Security']","Beginner Level"
"FinTech and the Transformation in Financial Services","4.3","['Business', 'Leadership and Management']","Beginner Level"
"Introduction to TCP/IP","4.5","['Computer Science', 'Computer Security and Networks']","Beginner Level"
"La gestión de personas y equipos","4.8","['Business', 'Leadership and Management']","Beginner Level"
"Career 911: Your Future Job in Medicine and Healthcare","4.4","['Health', 'Patient Care']","None"
"Inferential Statistics","4.8","['Data Science', 'Probability and Statistics']","Beginner Level"
"Structure: Building the Frame for Business Growth","3.9","['Business', 'Entrepreneurship']","None"
"Key Success Factors in Supply Chain Finance","4.6","['Business', 'Finance']","Intermediate Level"
"Geographical Information Systems - Part 1","None","['Physical Science and Engineering', 'Environmental Science and Sustainability']","Beginner Level"
"The Development of Mobile Health Monitoring Systems","4.3","['Computer Science', 'Design and Product']","Intermediate Level"
"Advanced System Security Topics","4.3","['Computer Science', 'Computer Security and Networks']","Beginner Level"
"Doing More with SAS Programming","4.8","['Data Science', 'Data Analysis']","Intermediate Level"
"Машинное обучение в финансах","4.6","['Data Science', 'Machine Learning']","Intermediate Level"
"System Validation (2): Model process behaviour","4.4","['Computer Science', 'Software Development']","Intermediate Level"
"Foundations of Teaching for Learning: Introduction to Student Assessment","4.7","['Social Sciences', 'Education']","None"
"Fibonacci Numbers and the Golden Ratio","4.7","['Math and Logic', 'Math and Logic']","Beginner Level"
"Rethinking International Tax Law","4.9","['Social Sciences', 'Law']","None"
"More C# Programming and Unity","4.8","['Computer Science', 'Software Development']","Intermediate Level"
"Composición de canciones","4.7","['Arts and Humanities', 'Music and Art']","None"
"Bridging healthcare and society","None","['Health', 'Public Health']","None"
"Elastic Cloud Infrastructure: Scaling and Automation","4.7","['Information Technology', 'Cloud Computing']","Intermediate Level"
"Managerial Accounting: Tools for Facilitating and Guiding Business Decisions","4.7","['Business', 'Finance']","None"
"Childbirth: A Global Perspective","4.6","['Health', 'Public Health']","Intermediate Level"
"Building Cloud Services with the Java Spring Framework","4.6","['Computer Science', 'Mobile and Web Development']","Intermediate Level"
"Engaging in Persuasive and Credible Communication","4.4","['Personal Development', 'Personal Development']","Beginner Level"
"Distributed Programming in Java","4.5","['Computer Science', 'Software Development']","Intermediate Level"
"中级商务汉语（入职与营销篇）","4.9","['Language Learning', 'Other Languages']","Intermediate Level"
"Contenido de las matemáticas de primaria","4.8","['Math and Logic', 'Math and Logic']","Beginner Level"
"Enseignes et afficheurs à LED","4.4","['Physical Science and Engineering', 'Electrical Engineering']","Beginner Level"
"Chinese Politics Part 1 – China and Political Science","4.8","['Social Sciences', 'Governance and Society']","None"
"Developing Your Musicianship","4.8","['Arts and Humanities', 'Music and Art']","None"
"Object Oriented Programming in Java","4.7","['Computer Science', 'Software Development']","Intermediate Level"
"Teach English Now! Second Language Listening, Speaking, and Pronunciation","4.9","['Language Learning', 'Learning English']","Beginner Level"
"Network Dynamics of Social Behavior","4.7","['Social Sciences', 'Governance and Society']","Beginner Level"
"Equine Welfare and Management","4.8","['Health', 'Animal Health']","Beginner Level"
"Capstone Design Project in Power Electronics","4.8","['Physical Science and Engineering', 'Electrical Engineering']","Intermediate Level"
"Leading Healthcare Quality and Safety","4.8","['Health', 'Healthcare Management']","Beginner Level"
"Project: Basic Image Classification with TensorFlow","4.5","['Data Science', 'Machine Learning']","Beginner Level"
"Big Data Applications: Machine Learning at Scale","3.8","['Data Science', 'Machine Learning']","Advanced Level"
"Reproducible Research","4.5","['Data Science', 'Data Analysis']","None"
"Разработка корпоративных систем. Часть 2. Строгие методологии разработки","4","['Computer Science', 'Software Development']","None"
"Decentralized Applications (Dapps)","4.6","['Computer Science', 'Software Development']","Intermediate Level"
"Introduction to Deep Learning & Neural Networks with Keras","4.6","['Data Science', 'Machine Learning']","Intermediate Level"
"Supply Chain Analytics Essentials","4.6","['Business', 'Business Essentials']","Beginner Level"
"Business Growth Strategy","4.7","['Business', 'Business Strategy']","None"
"Using Git for Distributed Development","4.5","['Computer Science', 'Software Development']","Beginner Level"
"Branding and Customer Experience","4.6","['Business', 'Marketing']","Intermediate Level"
"Critical Perspectives on Management","4.8","['Business', 'Leadership and Management']","None"
"Global Financing Solutions  (by EDHEC and Société Générale)","4.6","['Business', 'Finance']","Intermediate Level"
"Estrategias de  Redes Sociales","4.6","['Business', 'Business Strategy']","Beginner Level"
"MOOC and Blended Learning","None","['Social Sciences', 'Education']","Beginner Level"
"Ciudades en crisis y nuevas políticas urbanas","4.7","['Social Sciences', 'Governance and Society']","Beginner Level"
"Service Transformed: Lessons in U.S. Veteran Centered Care","4.3","['Health', 'Patient Care']","None"
"Climate Change Mitigation in Developing Countries","4.6","['Physical Science and Engineering', 'Environmental Science and Sustainability']","Intermediate Level"
"Dynamical Modeling Methods for Systems Biology","4.7","['Health', 'Health Informatics']","None"
"Local Economic Development","4.8","['Social Sciences', 'Economics']","Beginner Level"
"Our Earth: Its Climate, History, and Processes","4.6","['Physical Science and Engineering', 'Environmental Science and Sustainability']","Beginner Level"
"Essentials in Clinical Simulations Across the Health Professions","4.8","['Health', 'Healthcare Management']","Intermediate Level"
"Advanced Manufacturing Enterprise","4.5","['Physical Science and Engineering', 'Mechanical Engineering']","Beginner Level"
"Wine Tasting: Sensory Techniques for Wine Analysis","4.8","['Personal Development', 'Personal Development']","Beginner Level"
"Build personal resilience","None","['Business', 'Leadership and Management']","None"
"Introduction to the Internet of Things and Embedded Systems","4.6","['Computer Science', 'Software Development']","None"
"Mastering Statics","4.8","['Physical Science and Engineering', 'Mechanical Engineering']","Intermediate Level"
"Основы фотографии","4.9","['Arts and Humanities', 'Music and Art']","Beginner Level"
"Fundamentos de Excel para Negocios","4.7","['Data Science', 'Data Analysis']","Beginner Level"
"Peer-to-Peer Protocols and Local Area Networks","4.6","['Computer Science', 'Computer Security and Networks']","None"
"Financing Infrastructure in African Cities","4.7","['Social Sciences', 'Governance and Society']","Beginner Level"
"JavaScript, часть 1: основы и функции","4.5","['Computer Science', 'Mobile and Web Development']","Intermediate Level"
"Protecting Business Innovations via Strategy","4.6","['Business', 'Business Strategy']","Beginner Level"
"Ancient Philosophy: Plato & His Predecessors","4.7","['Arts and Humanities', 'Philosophy']","None"
"Mi Primer Empleo (MPE)","4.9","['Personal Development', 'Personal Development']","Beginner Level"
"Feature Engineering em Português Brasileiro","4.6","['Data Science', 'Machine Learning']","Intermediate Level"
"Act on Climate: Steps to Individual, Community, and Political Action","4.8","['Physical Science and Engineering', 'Environmental Science and Sustainability']","Beginner Level"
"Data Warehouse Concepts, Design, and Data Integration","4.4","['Computer Science', 'Design and Product']","None"
"Cloud Networking","4.5","['Computer Science', 'Computer Security and Networks']","None"
"Hacking and Patching","4.2","['Computer Science', 'Computer Security and Networks']","Intermediate Level"
"Молекулярная диетология: гены, еда и здоровье","4.4","['Health', 'Nutrition']","Beginner Level"
"Regression Models","4.4","['Data Science', 'Probability and Statistics']","None"
"Инфраструктура рынка, методы и технологии инвестирования","4.3","['Business', 'Finance']","None"
"Introduction to Cyber Attacks","4.7","['Computer Science', 'Computer Security and Networks']","Beginner Level"
"Paesaggi di Roma Antica. Archeologia e storia del Palatino.","4.7","['Arts and Humanities', 'History']","Beginner Level"
"Grabación y postproducción musical dentro y fuera del estudio","4.8","['Arts and Humanities', 'Music and Art']","Intermediate Level"
"Сравнительная политика (Comparative Politics)","4.6","['Social Sciences', 'Governance and Society']","None"
"Philosophy, Science and Religion: Philosophy and Religion","4.6","['Arts and Humanities', 'Philosophy']","Beginner Level"
"Здоровое сердце, здоровые сосуды","5","['Health', 'Public Health']","Beginner Level"
"История и теория медиа (History and theory of media)","4.6","['Arts and Humanities', 'History']","Beginner Level"
"Leadership and Influence","4.7","['Business', 'Leadership and Management']","Beginner Level"
"IBM Customer Engagement Specialist Professional Certificate","4.8","['Information Technology', 'Support and Operations']","Beginner Level"
"The Economics of Agro-Food Value Chains","4.4","['Social Sciences', 'Economics']","Intermediate Level"
"UX (User Experience) Capstone","4","['Computer Science', 'Design and Product']","Beginner Level"
"Fundamentos do Suporte Técnico","4.9","['Information Technology', 'Support and Operations']","Beginner Level"
"D'un infini à l'autre - Voyages de l'infiniment grand à l'infiniment petit","4.7","['Physical Science and Engineering', 'Physics and Astronomy']","Beginner Level"
"Optical Efficiency and Resolution","3.8","['Physical Science and Engineering', 'Electrical Engineering']","Advanced Level"
"ÉCHELLE RACE: Dépistage préhospitalier de l’AVC impliquant une occlusion de gros vaisseaux cérébraux","None","['Health', 'Patient Care']","Intermediate Level"
"English for Effective  Business Writing","4.4","['Language Learning', 'Learning English']","None"
"PlanU: escoge la mejor carrera y universidad para ti","4.6","['Personal Development', 'Personal Development']","Beginner Level"
"Health in Complex Humanitarian Emergencies","4.7","['Health', 'Public Health']","Intermediate Level"
"Programación y presupuesto del proyecto","4.7","['Business', 'Leadership and Management']","None"
"Search Engine Optimization Fundamentals","4.7","['Business', 'Marketing']","None"
"Villes africaines : Restructuration des quartiers précaires","4.7","['Social Sciences', 'Governance and Society']","None"
"Orçamento e Cronograma de Projetos","4.8","['Business', 'Leadership and Management']","Beginner Level"
"International Law in Action: A Guide to the International Courts and Tribunals in The Hague","4.8","['Social Sciences', 'Law']","None"
"Marketing e vendas B2B: Fechando novos negócios","4.8","['Business', 'Business Essentials']","Beginner Level"
"Corporate & Commercial Law I: Contracts & Employment Law","4.8","['Business', 'Business Essentials']","Intermediate Level"
"Мастерство создания стоимости компании","None","['Business', 'Finance']","Intermediate Level"
"The Changing Global Order","4.7","['Social Sciences', 'Governance and Society']","Intermediate Level"
"Les Partenariats Public-Privé (PPP): Comment offrir de meilleures infrastructures pour les services publics","4.8","['Social Sciences', 'Governance and Society']","None"
"Behavioral Investing","4.5","['Business', 'Finance']","Beginner Level"
"U.S. Health Law Fundamentals","None","['Health', 'Healthcare Management']","Beginner Level"
"Annual Campaigns: Building a Case for Support","3.9","['Business', 'Business Strategy']","Beginner Level"
"Conceptos base para el estudio del medio ambiente","4.6","['Physical Science and Engineering', 'Environmental Science and Sustainability']","Beginner Level"
"Математическая теория игр","None","['Math and Logic', 'Math and Logic']","Intermediate Level"
"Paleontology: Early Vertebrate Evolution","4.8","['Health', 'Basic Science']","None"
"Introducción al Aprendizaje Universitario","4.1","['Personal Development', 'Personal Development']","Intermediate Level"
"JavaScript, часть 2: прототипы и асинхронность","4.8","['Computer Science', 'Mobile and Web Development']","Intermediate Level"
"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming","4.8","['Computer Science', 'Algorithms']","Intermediate Level"
"Transacionando na Blockchain","None","['Business', 'Business Strategy']","Intermediate Level"
"Introducción a Java","4.5","['Computer Science', 'Software Development']","Beginner Level"
"Introduction to Marketing","4.8","['Business', 'Marketing']","None"
"Chemicals and Health","4.7","['Health', 'Basic Science']","Beginner Level"
"Statistical Molecular Thermodynamics","4.9","['Physical Science and Engineering', 'Chemistry']","Beginner Level"
"Story and Narrative Development for Video Games","4.7","['Arts and Humanities', 'Music and Art']","Beginner Level"
"Advanced Neurobiology I","4","['Health', 'Basic Science']","Intermediate Level"
"Коммерциализация технологий в промышленном комплексе","None","['Business', 'Finance']","Beginner Level"
"Strategic Self-Marketing and Personal Branding","4.3","['Personal Development', 'Personal Development']","Intermediate Level"
"Ценные бумаги: правовое регулирование","4.8","['Business', 'Finance']","None"
"Population Health: Fundamentals of Population Health Management","4.5","['Health', 'Healthcare Management']","None"
"Graphic Elements of Design: Color Theory and Image Formats","4.9","['Arts and Humanities', 'History']","Beginner Level"
"Digital Manufacturing & Design","4.6","['Physical Science and Engineering', 'Mechanical Engineering']","Beginner Level"
"Toma de Decisiones Financieras","4.6","['Business', 'Finance']","Intermediate Level"
"人工智慧：搜尋方法與邏輯推論 (Artificial Intelligence - Search & Logic)","4.8","['Computer Science', 'Algorithms']","Beginner Level"
"Эконометрика (Econometrics)","4.9","['Social Sciences', 'Economics']","None"
"Approaching Music Theory: Melodic Forms and Simple Harmony","4.6","['Arts and Humanities', 'Music and Art']","Intermediate Level"
"The Korean Economic Development","4.7","['Social Sciences', 'Economics']","None"
"People Analytics","4.5","['Business', 'Leadership and Management']","None"
"Network Protocols and Architecture","4.8","['Information Technology', 'Networking']","Beginner Level"
"Quantitative Model Checking","4.2","['Computer Science', 'Software Development']","Intermediate Level"
"Risk in Modern Society","4.7","['Social Sciences', 'Governance and Society']","Beginner Level"
"Blockchain Business Models","4.6","['Business', 'Finance']","Intermediate Level"
"La science forensique au tribunal: témoin digne de foi ?","4.8","['Social Sciences', 'Law']","Beginner Level"
"Linear Circuits 1: DC Analysis","4.5","['Physical Science and Engineering', 'Electrical Engineering']","None"
"Intro to Digital Manufacturing with Autodesk Fusion 360","4.6","['Physical Science and Engineering', 'Mechanical Engineering']","Beginner Level"
