"Name","Rating","Difficulty_None","Difficulty_Beginner Level","Difficulty_Intermediate Level","Difficulty_Advanced Level","Tags"
"Application of AI, InsurTech, and Real Estate Technology","4.6",1,0,0,0,"['Business', 'Finance']"
"Biology Meets Programming: Bioinformatics for Beginners","4.5",0,1,0,0,"['Health', 'Health Informatics']"
"Capstone: Create your own professional journalistic portfolio","4.7",1,0,0,0,"['Arts and Humanities', 'Music and Art']"
"Cómo autoconstruir tu vivienda","4.7",1,0,0,0,"['Physical Science and Engineering', 'Mechanical Engineering']"
"Data Management for Clinical Research","4.7",0,1,0,0,"['Health', 'Research']"
"Disease Clusters","4.6",0,1,0,0,"['Health', 'Public Health']"
"Project Planning and Machine Learning","4.5",0,0,1,0,"['Computer Science', 'Design and Product']"
"Innovation for Entrepreneurs: From Idea to Marketplace","4.4",1,0,0,0,"['Business', 'Entrepreneurship']"
"What does it mean to identify as Transgender or Gender Non-Conforming (TGNC)?","4.5",0,1,0,0,"['Personal Development', 'Personal Development']"
"Inspiring and Motivating Individuals","4.8",1,0,0,0,"['Business', 'Leadership and Management']"
"Financer un projet à impact social","None",0,0,1,0,"['Business', 'Entrepreneurship']"
"Développement psychologique de l'enfant","4.8",0,1,0,0,"['Health', 'Psychology']"
"Introduction to Neuroeconomics: How the Brain Makes Decisions","4.7",0,1,0,0,"['Social Sciences', 'Economics']"
"Julia Scientific Programming","4.5",0,1,0,0,"['Data Science', 'Data Analysis']"
"Capstone Value Creation through Innovation","None",0,0,1,0,"['Business', 'Entrepreneurship']"
"Standardisation & Technology","None",0,1,0,0,"['Business', 'Business Strategy']"
"Математика для всех","4.8",0,1,0,0,"['Math and Logic', 'Math and Logic']"
"Visualization for Data Journalism","None",0,1,0,0,"['Data Science', 'Data Analysis']"
"Acuerdos globales para el desarrollo sostenible","4.7",0,1,0,0,"['Social Sciences', 'Governance and Society']"
"Finance for Non-Finance Professionals","4.8",0,1,0,0,"['Business', 'Finance']"
"Química, guerra y ética","4.7",0,1,0,0,"['Health', 'Basic Science']"
"IT Security: Defense against the digital dark arts","4.8",0,1,0,0,"['Information Technology', 'Security']"
"Reliable Cloud Infrastructure: Design and Process en Français","None",0,0,1,0,"['Information Technology', 'Cloud Computing']"
"Launching into Machine Learning auf Deutsch","None",0,0,1,0,"['Data Science', 'Machine Learning']"
"Unraveling the Cycling City","None",0,0,1,0,"['Social Sciences', 'Governance and Society']"
"Human-Centered Design: an Introduction","4.7",1,0,0,0,"['Computer Science', 'Design and Product']"
"Doing Business in Russia","None",0,1,0,0,"['Business', 'Business Essentials']"
"Blockchain and Business: Applications and Implications","4.7",1,0,0,0,"['Business', 'Business Essentials']"
"From Brand to Image: Creating High Impact Campaigns That Tell Brand Stories","4.6",0,1,0,0,"['Business', 'Marketing']"
"Proyecto Final: Chino básico - Lenguaje y cultura empresarial","None",1,0,0,0,"['Language Learning', 'Other Languages']"
"Модели антикризисного жизненного цикла корпоративных систем","4.8",1,0,0,0,"['Computer Science', 'Software Development']"
"Tinkering Fundamentals: Motion and Mechanisms","4.9",0,1,0,0,"['Personal Development', 'Personal Development']"
"Architecting with Google Kubernetes Engine: Foundations em Português Brasileiro","None",0,0,1,0,"['Computer Science', 'Software Development']"
"Técnicas Microscópicas de Caracterización","4.6",1,0,0,0,"['Physical Science and Engineering', 'Research Methods']"
"Ecologie Politique: défi de la durabilité pour les démocraties","4.7",0,1,0,0,"['Arts and Humanities', 'Philosophy']"
"Discover Best Practice Farming for a Sustainable 2050","4.6",0,1,0,0,"['Health', 'Basic Science']"
"Sustainable Fashion","None",0,1,0,0,"['Business', 'Business Strategy']"
"Introduction to Electronics","4.7",1,0,0,0,"['Physical Science and Engineering', 'Electrical Engineering']"
"Corporate Sustainability. Understanding and Seizing the Strategic Opportunity","4.6",1,0,0,0,"['Business', 'Business Strategy']"
"Lighting, Reflection, and Post Processing Effects","4.8",0,0,1,0,"['Computer Science', 'Software Development']"
"Computational Social Science Capstone Project","None",0,1,0,0,"['Data Science', 'Data Analysis']"
"Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure","4.2",0,0,1,0,"['Computer Science', 'Computer Security and Networks']"
"Feature Engineering en Español","4.6",0,0,1,0,"['Data Science', 'Machine Learning']"
"Global Adolescent Health","4.7",0,1,0,0,"['Health', 'Public Health']"
"English for Science, Technology, Engineering, and Mathematics","4.8",0,1,0,0,"['Language Learning', 'Learning English']"
"Introduction to Acoustics (Part 2)","4.6",0,0,1,0,"['Physical Science and Engineering', 'Physics and Astronomy']"
"Low Poly Art For Video Games","None",0,0,1,0,"['Arts and Humanities', 'Music and Art']"
"Statistics for International Business","3.6",1,0,0,0,"['Business', 'Finance']"
"Введение в механику деформируемого твёрдого тела (Introduction to the mechanics of deformable solids)","4.9",0,0,0,1,"['Physical Science and Engineering', 'Mechanical Engineering']"
"Equivalent Circuit Cell Model Simulation","4.6",0,0,1,0,"['Physical Science and Engineering', 'Electrical Engineering']"
"Continuous Integration","3.6",0,0,1,0,"['Computer Science', 'Software Development']"
"Representaciones culturales de las sexualidades","4.8",0,1,0,0,"['Arts and Humanities', 'Philosophy']"
"Инвестиции в акции","3.9",1,0,0,0,"['Business', 'Finance']"
"History of Rock, Part One","4.8",1,0,0,0,"['Arts and Humanities', 'Music and Art']"
"Политическая география","4.8",0,1,0,0,"['Social Sciences', 'Governance and Society']"
"Interactive Computer Graphics","4.4",0,0,1,0,"['Computer Science', 'Software Development']"
"Teoria Geral da Administração para Executivos","4.8",0,1,0,0,"['Business', 'Business Essentials']"
"Gathering and Developing the News","4.7",1,0,0,0,"['Arts and Humanities', 'Music and Art']"
"Mitigating Security Vulnerabilities on Google Cloud Platform","4.7",0,0,1,0,"['Information Technology', 'Cloud Computing']"
"Digital Transformation of Financial Services - Capstone Project","4.3",0,0,1,0,"['Business', 'Business Strategy']"
"Native Advertising","None",0,1,0,0,"['Business', 'Marketing']"
"The Wonders and Challenges of Bible Education","None",0,1,0,0,"['Social Sciences', 'Education']"
"Identifying Patient Populations","4.5",0,0,1,0,"['Data Science', 'Data Analysis']"
"Методологии антикризисного жизненного цикла корпоративных систем","4.6",1,0,0,0,"['Computer Science', 'Software Development']"
"Fundamentals of Management","4.5",1,0,0,0,"['Business', 'Leadership and Management']"
"Data Pipelines with TensorFlow Data Services","None",0,0,1,0,"['Computer Science', 'Software Development']"
"Advanced Styling with Responsive Design","4.7",1,0,0,0,"['Computer Science', 'Mobile and Web Development']"
"Managing Talent","4.5",1,0,0,0,"['Business', 'Leadership and Management']"
"Systems Biology and Biotechnology Capstone","4.5",1,0,0,0,"['Physical Science and Engineering', 'Research Methods']"
"Cómo resolver problemas y tomar decisiones con eficacia","4.4",1,0,0,0,"['Business', 'Leadership and Management']"
"Algorithms, Data Collection, and Starting to Code","4",0,1,0,0,"['Computer Science', 'Software Development']"
"Ferrous Technology II","4.7",0,1,0,0,"['Physical Science and Engineering', 'Electrical Engineering']"
"Molecular Evolution (Bioinformatics IV)","4.5",0,1,0,0,"['Health', 'Health Informatics']"
"Value Chain Management Capstone","4.8",0,0,1,0,"['Business', 'Leadership and Management']"
"Взаимодействие языков и культур: сохраняем и расширяем свою идентичность (на примере изучения татарского языка как родного и иностранного)","None",0,1,0,0,"['Language Learning', 'Other Languages']"
"Речевой этикет: вежливость и коммуникативные стратегии","4.6",0,1,0,0,"['Arts and Humanities', 'History']"
"Egiptología (Egyptology)","4.9",0,1,0,0,"['Arts and Humanities', 'History']"
"Front-End Web Development with React","4.7",0,0,1,0,"['Computer Science', 'Mobile and Web Development']"
"EU policy and implementation: making Europe work!","4.4",0,0,1,0,"['Social Sciences', 'Governance and Society']"
"Beneficios y características de las redes sociales más significativas","4.3",1,0,0,0,"['Business', 'Marketing']"
"International Law in Action: the Arbitration of International Disputes","4.8",1,0,0,0,"['Social Sciences', 'Law']"
"Medical Neuroscience","4.9",0,0,0,1,"['Health', 'Research']"
"Pre-Calculus","4.7",0,1,0,0,"['Math and Logic', 'Math and Logic']"
"Поиск структуры в данных","4.7",0,0,1,0,"['Data Science', 'Machine Learning']"
"Inglés Empresarial: el márketing y ventas","4.7",0,0,1,0,"['Language Learning', 'Learning English']"
"Machine Learning for Business Professionals","4.6",0,0,1,0,"['Data Science', 'Machine Learning']"
"Global Statistics - Composite Indices for International Comparisons","4.9",0,0,1,0,"['Data Science', 'Data Analysis']"
"Internet History, Technology, and Security","4.8",1,0,0,0,"['Computer Science', 'Computer Security and Networks']"
"Games without Chance: Combinatorial Game Theory","4.3",1,0,0,0,"['Math and Logic', 'Math and Logic']"
"Психолингвистика (Psycholinguistics)","4.8",1,0,0,0,"['Health', 'Psychology']"
"Operations Analytics","4.7",1,0,0,0,"['Business', 'Business Strategy']"
"Requerimientos, planeación, ejecución y medición de estrategias para redes sociales","4.5",1,0,0,0,"['Business', 'Marketing']"
"ART of the MOOC: Arte Público y Pedagogía","4.7",1,0,0,0,"['Arts and Humanities', 'Music and Art']"
"Keeping up with Change: Issues for the Finance Professional","4.7",1,0,0,0,"['Business', 'Finance']"
"How To Land the Job You Want (Capstone Project)","None",1,0,0,0,"['Business', 'Business Strategy']"
"Evaluación de inversiones en Bienes de Capital","4.2",0,0,1,0,"['Business', 'Finance']"
"Pixel Art for Video Games","4.4",0,1,0,0,"['Arts and Humanities', 'Music and Art']"
"Foundations of Teaching for Learning: Being a Professional","4.7",1,0,0,0,"['Social Sciences', 'Education']"
"علم النجاح: ما يجب أن تعرفه من الباحثين","4.8",0,1,0,0,"['Business', 'Leadership and Management']"
"Genomic Data Science Capstone","4.6",1,0,0,0,"['Data Science', 'Data Analysis']"
"التقانة والمستشعرات النانوية - الجزء الثاني","None",1,0,0,0,"['Physical Science and Engineering', 'Chemistry']"
"First Steps in Making the Business Case for Sustainability","4.7",0,1,0,0,"['Business', 'Leadership and Management']"
"Cost and Economics in Pricing Strategy","4.8",0,1,0,0,"['Business', 'Marketing']"
"Costos para los Negocios","4.8",0,0,1,0,"['Business', 'Marketing']"
"Feeding the World","4.6",0,1,0,0,"['Health', 'Basic Science']"
"Software Architecture for the Internet of Things","4.2",1,0,0,0,"['Computer Science', 'Software Development']"
"Control automático: La tecnología invisible","4.6",0,1,0,0,"['Physical Science and Engineering', 'Electrical Engineering']"
"FinTech: Foundations, Payments, and Regulations","4.7",0,1,0,0,"['Business', 'Business Essentials']"
"Spatial Data Science and Applications","4.4",0,0,1,0,"['Data Science', 'Data Analysis']"
"口腔种植学 （Implant Dentistry）","4.9",0,0,1,0,"['Health', 'Patient Care']"
"Fundamentals of Global Energy Business","4.6",1,0,0,0,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
"Evaluating the Quality of Healthcare Delivery","None",0,1,0,0,"['Health', 'Healthcare Management']"
"Introduction to Genetics and Evolution","4.8",1,0,0,0,"['Health', 'Basic Science']"
"The Outcomes and Interventions of Health Informatics","4.5",0,1,0,0,"['Health', 'Health Informatics']"
"History of Rock, Part Two","4.8",1,0,0,0,"['Arts and Humanities', 'Music and Art']"
"Nursing Informatics Training and Education","4.6",0,0,1,0,"['Health', 'Health Informatics']"
"Современный менеджмент","4.7",1,0,0,0,"['Business', 'Business Essentials']"
"Social Impact Strategy: Tools for Entrepreneurs and Innovators","4.8",0,1,0,0,"['Business', 'Entrepreneurship']"
"Art and Science of Machine Learning 日本語版","4",0,0,1,0,"['Data Science', 'Machine Learning']"
"Geopolítica y gobernanza global: riesgos y oportunidades","4.8",1,0,0,0,"['Social Sciences', 'Governance and Society']"
"Mechanics of Materials II: Thin-Walled Pressure Vessels and Torsion","4.8",1,0,0,0,"['Physical Science and Engineering', 'Mechanical Engineering']"
"Securing and Integrating Components of your Application","4.6",0,0,1,0,"['Computer Science', 'Software Development']"
"iOS App Development Basics","4.2",1,0,0,0,"['Computer Science', 'Mobile and Web Development']"
"Calculus and Optimization for Machine Learning","None",0,0,1,0,"['Math and Logic', 'Math and Logic']"
"Framework for Data Collection and Analysis","4.1",0,0,1,0,"['Data Science', 'Data Analysis']"
"Relationship Management","4.7",0,0,0,1,"['Business', 'Leadership and Management']"
"Estilos de Liderazgo: opciones para avanzar en desafíos complejos","4.9",0,0,1,0,"['Personal Development', 'Personal Development']"
"Studying Cities: Social Science Methods for Urban Research","4.6",1,0,0,0,"['Social Sciences', 'Education']"
"Introduction to Chemistry:  Reactions and Ratios","4.7",0,1,0,0,"['Physical Science and Engineering', 'Chemistry']"
"Embedded Software and Hardware Architecture","4.6",0,0,1,0,"['Physical Science and Engineering', 'Electrical Engineering']"
"International Leadership and Organizational Behavior","4.7",1,0,0,0,"['Business', 'Leadership and Management']"
"Negociações de sucesso: estratégias e habilidades essenciais (em Português)","4.9",1,0,0,0,"['Business', 'Business Essentials']"
"Mastering Data Analysis in Excel","4.2",1,0,0,0,"['Data Science', 'Data Analysis']"
"Dealing With Missing Data","3.8",1,0,0,0,"['Data Science', 'Data Analysis']"
"The Arts and Science of Relationships: Understanding Human Needs","4.4",0,1,0,0,"['Personal Development', 'Personal Development']"
"Weight Management: Beyond Balancing Calories","4.7",0,1,0,0,"['Health', 'Nutrition']"
"Elastic Cloud Infrastructure: Scaling and Automation en Español","4.8",0,0,1,0,"['Information Technology', 'Cloud Computing']"
"English for Business and Entrepreneurship","4.8",0,1,0,0,"['Language Learning', 'Learning English']"
"Инженер - менеджер настоящего, системный архитектор будущего","None",0,0,1,0,"['Business', 'Business Strategy']"
"Chinese Culture and Contemporary China","4.6",0,1,0,0,"['Arts and Humanities', 'History']"
"3D Printing Applications","4.6",0,1,0,0,"['Business', 'Entrepreneurship']"
"Strategic Management of Innovation","4.7",1,0,0,0,"['Business', 'Business Strategy']"
"Fundamentals of Accounting Capstone","None",0,1,0,0,"['Business', 'Business Essentials']"
"Principles of fMRI 2","4.7",1,0,0,0,"['Data Science', 'Data Analysis']"
"Introduzione alla fisica sperimentale: elettromagnetismo, ottica, fisica moderna","4.9",1,0,0,0,"['Physical Science and Engineering', 'Physics and Astronomy']"
"Coaching Practices","4.7",1,0,0,0,"['Business', 'Leadership and Management']"
"Single Page Web Applications with AngularJS","4.9",0,0,1,0,"['Computer Science', 'Mobile and Web Development']"
"Functions, Methods, and Interfaces in Go","4.6",0,0,1,0,"['Computer Science', 'Software Development']"
"Linear Circuits 2: AC Analysis","4.7",0,0,1,0,"['Physical Science and Engineering', 'Electrical Engineering']"
"Opioid Epidemic: From Evidence to Impact","None",0,1,0,0,"['Health', 'Public Health']"
"Bacteria and Chronic Infections","4.6",1,0,0,0,"['Health', 'Patient Care']"
"Human Resources Management Capstone: HR for People Managers","4.8",1,0,0,0,"['Business', 'Leadership and Management']"
"Ethical Social Media","4.5",1,0,0,0,"['Social Sciences', 'Governance and Society']"
"Electric Vehicles and Mobility","4.5",0,1,0,0,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
"Estrategia Empresarial","4.7",0,1,0,0,"['Business', 'Leadership and Management']"
"Cultural intelligence: Become a global citizen","None",1,0,0,0,"['Business', 'Leadership and Management']"
"The Raspberry Pi Platform and Python Programming for the Raspberry Pi","4.6",1,0,0,0,"['Computer Science', 'Software Development']"
"Hands-on Text Mining and Analytics","4",0,0,1,0,"['Data Science', 'Data Analysis']"
"Materials Science: 10 Things Every Engineer Should Know","4.6",1,0,0,0,"['Physical Science and Engineering', 'Mechanical Engineering']"
"Python and Machine-Learning for Asset Management with Alternative Data Sets","4.6",0,0,1,0,"['Business', 'Finance']"
"Сравнение и создание групп","4.5",0,0,1,0,"['Data Science', 'Data Analysis']"
"Agile Planning for Software Products","4.7",1,0,0,0,"['Computer Science', 'Software Development']"
"Data Analytics for Lean Six Sigma","4.8",0,1,0,0,"['Data Science', 'Data Analysis']"
"System Validation (4): Modelling Software, Protocols, and other behaviour","4.7",0,0,0,1,"['Computer Science', 'Software Development']"
"Electric Power Systems","4.7",0,1,0,0,"['Physical Science and Engineering', 'Electrical Engineering']"
"Disability Awareness and Support","4.5",1,0,0,0,"['Social Sciences', 'Education']"
"Management Fundamentals","4.6",0,1,0,0,"['Business', 'Leadership and Management']"
"Cryptography","4.5",1,0,0,0,"['Computer Science', 'Computer Security and Networks']"
"Business English: Meetings","4.7",0,0,1,0,"['Language Learning', 'Learning English']"
"International and Cross-Cultural Negotiation","4.7",0,0,1,0,"['Business', 'Leadership and Management']"
"Electrones en Acción: Electrónica y Arduinos para tus propios Inventos","4.8",1,0,0,0,"['Physical Science and Engineering', 'Electrical Engineering']"
"Biological Diversity (Theories, Measures and Data sampling techniques)","4.3",0,0,1,0,"['Health', 'Basic Science']"
"Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform auf Deutsch","None",0,0,1,0,"['Data Science', 'Data Analysis']"
"Sustainable Agricultural Land Management","4.7",0,1,0,0,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
"Auditing II: The Practice of Auditing","4.7",1,0,0,0,"['Business', 'Business Essentials']"
"Monetary Policy in the Asia Pacific","4.8",0,0,1,0,"['Social Sciences', 'Economics']"
"Preparing for the Google Cloud Associate Cloud Engineer Exam","4.7",0,1,0,0,"['Information Technology', 'Cloud Computing']"
"CAD/BIM技術與應用專項課程（CAD/BIM Specialization)","None",1,0,0,0,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
"Accounting Data Analytics with Python","None",0,0,1,0,"['Data Science', 'Data Analysis']"
"US Social Services Compared","4.7",0,1,0,0,"['Social Sciences', 'Governance and Society']"
"Quantum Optics 2 - Two photons and more","5",1,0,0,0,"['Physical Science and Engineering', 'Physics and Astronomy']"
"Introduction to Blockchain: Using and Securing Cryptocurrencies","4.9",0,1,0,0,"['Information Technology', 'Security']"
"AWS Fundamentals: Building Serverless Applications","4.7",0,1,0,0,"['Information Technology', 'Cloud Computing']"
"UX Design Fundamentals","4.8",0,1,0,0,"['Arts and Humanities', 'Music and Art']"
"Évaluation & Mesure d'Impact Social","4.6",0,1,0,0,"['Business', 'Entrepreneurship']"
"Interfacing with the Raspberry Pi","4.6",1,0,0,0,"['Physical Science and Engineering', 'Electrical Engineering']"
"Leadership Communication for Maximum Impact: Storytelling","4.5",1,0,0,0,"['Business', 'Leadership and Management']"
"Mi nueva empresa: los siguientes pasos","None",0,1,0,0,"['Business', 'Entrepreneurship']"
"Practical Reinforcement Learning","4.2",0,0,0,1,"['Data Science', 'Machine Learning']"
"Programming Mobile Applications for Android Handheld Systems: Part 1","4.6",1,0,0,0,"['Computer Science', 'Mobile and Web Development']"
"Pricing Strategy in Practice","4.7",0,0,1,0,"['Business', 'Marketing']"
"Developing FPGA-accelerated cloud applications with SDAccel: Practice","None",0,0,1,0,"['Computer Science', 'Design and Product']"
"Razonamiento artificial","4.4",0,0,1,0,"['Computer Science', 'Algorithms']"
"Investment Strategy","4.4",0,0,1,0,"['Business', 'Finance']"
"Sustainable Business: Big Issues, Big Changes","4.6",0,1,0,0,"['Business', 'Leadership and Management']"
"Operating Systems and You: Becoming a Power User","4.6",0,1,0,0,"['Information Technology', 'Support and Operations']"
"Прикладные задачи анализа данных","4.4",0,0,1,0,"['Data Science', 'Data Analysis']"
"Biosphere 2 Science for the Future of Our Planet","4.8",0,1,0,0,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
"Entrepreneurship","4.7",0,1,0,0,"['Business', 'Business Strategy']"
"Surveillance Systems: The Building Blocks","None",0,1,0,0,"['Health', 'Public Health']"
"Mergers and Acquisitions – The Relentless Pursuit of Synergy","4.4",0,0,1,0,"['Business', 'Finance']"
"Channel Management and Retailing","4.3",0,1,0,0,"['Business', 'Marketing']"
"Software Product Management Capstone","4.8",1,0,0,0,"['Computer Science', 'Design and Product']"
"Essential Cloud Infrastructure: Core Services","4.7",0,0,1,0,"['Information Technology', 'Cloud Computing']"
"Firearm Purchaser Licensing Teach-Out: The Background Check Policy Not Enough People Are Talking About","None",0,1,0,0,"['Social Sciences', 'Governance and Society']"
"Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course)","4.5",1,0,0,0,"['Arts and Humanities', 'Music and Art']"
"Success","4.8",0,1,0,0,"['Personal Development', 'Personal Development']"
"Getting and Cleaning Data","4.6",1,0,0,0,"['Data Science', 'Data Analysis']"
"Trading Basics","4.2",0,1,0,0,"['Business', 'Finance']"
"Literacy Teaching and Learning: Aims, Approaches and Pedagogies","4.5",0,1,0,0,"['Social Sciences', 'Education']"
"Cálculo Diferencial e Integral unidos por el Teorema Fundamental del Cálculo","4.5",1,0,0,0,"['Math and Logic', 'Math and Logic']"
"Understanding economic policymaking","4.8",1,0,0,0,"['Social Sciences', 'Governance and Society']"
"Advanced Linear Models for Data Science 2: Statistical Linear Models","4.7",0,0,0,1,"['Data Science', 'Probability and Statistics']"
"Functional Program Design in Scala","4.5",0,0,1,0,"['Computer Science', 'Software Development']"
"Thoracic Oncology","4.9",0,0,0,1,"['Health', 'Basic Science']"
"Experimentation for Improvement","4.8",0,0,1,0,"['Data Science', 'Probability and Statistics']"
"Major Engineering Projects: Governance, Risk and Scope","4.7",0,0,1,0,"['Physical Science and Engineering', 'Mechanical Engineering']"
"Understanding China, 1700-2000: A Data Analytic Approach, Part 1","4.5",1,0,0,0,"['Data Science', 'Data Analysis']"
"Accounting Analysis I: The Role of Accounting as an Information System","4.9",0,0,1,0,"['Business', 'Business Essentials']"
"Data Analysis Tools","4.5",1,0,0,0,"['Data Science', 'Data Analysis']"
"Introduction to Who Wrote Shakespeare","4.5",0,1,0,0,"['Arts and Humanities', 'History']"
"Ruby on Rails: An Introduction","4.5",1,0,0,0,"['Computer Science', 'Mobile and Web Development']"
"Preventative Healthcare for the Newborn Baby","4.7",0,1,0,0,"['Health', 'Patient Care']"
"Introduction aux Droits de l’Homme","4.8",1,0,0,0,"['Social Sciences', 'Law']"
"Nanophotonics and Detectors","None",0,0,0,1,"['Physical Science and Engineering', 'Electrical Engineering']"
"Character Design for Video Games","4.6",0,1,0,0,"['Arts and Humanities', 'Music and Art']"
"Introduzione alla fisica sperimentale: meccanica, termodinamica","5",0,1,0,0,"['Physical Science and Engineering', 'Physics and Astronomy']"
"Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep","None",0,0,0,1,"['Physical Science and Engineering', 'Mechanical Engineering']"
"Serverless Machine Learning with Tensorflow on Google Cloud Platform em Português Brasileiro","4.7",0,0,1,0,"['Data Science', 'Machine Learning']"
"Using Python to Access Web Data","4.8",1,0,0,0,"['Computer Science', 'Software Development']"
"Matrix Methods","4.2",0,0,1,0,"['Math and Logic', 'Math and Logic']"
"Ingeniería de Tráfico","4.6",0,1,0,0,"['Physical Science and Engineering', 'Mechanical Engineering']"
"Healthcare Consumerism and Implication for Care Delivery","4.5",0,1,0,0,"['Health', 'Healthcare Management']"
"Multi-Axis CNC Toolpaths","5",0,0,0,1,"['Physical Science and Engineering', 'Mechanical Engineering']"
"Finance for Everyone: Markets","4.6",0,1,0,0,"['Business', 'Finance']"
"Social Marketing Capstone Project","4.9",1,0,0,0,"['Business', 'Marketing']"
"Seguridad agroalimentaria","4.7",0,1,0,0,"['Health', 'Nutrition']"
"New Models of Business in Society","4.6",1,0,0,0,"['Business', 'Leadership and Management']"
"Imagery, Automation, and Applications","4.9",1,0,0,0,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
"Terrorism and Counterterrorism: Comparing Theory and Practice","4.8",0,1,0,0,"['Social Sciences', 'Governance and Society']"
"Exploring Quantum Physics","None",1,0,0,0,"['Physical Science and Engineering', 'Physics and Astronomy']"
"MongoDB Aggregation Framework","4.7",0,0,1,0,"['Data Science', 'Data Analysis']"
"Sales & Marketing Alignment","4.5",0,0,1,0,"['Business', 'Business Strategy']"
"Введение в теорию построения процедур множественной проверки гипотез","None",0,0,1,0,"['Data Science', 'Probability and Statistics']"
"Statistical Thermodynamics: Molecules to Machines","4",0,0,1,0,"['Physical Science and Engineering', 'Mechanical Engineering']"
"Essential Cloud Infrastructure: Core Services 日本語版","4.7",0,0,1,0,"['Information Technology', 'Cloud Computing']"
"Sequence Models","4.8",0,0,1,0,"['Data Science', 'Machine Learning']"
"Discrete Optimization","4.9",0,0,1,0,"['Computer Science', 'Algorithms']"
"Entreprendre dans les Industries Culturelles à l'ère du numérique","4.7",0,1,0,0,"['Business', 'Entrepreneurship']"
"Advanced Financial Reporting: Accounting for Business Combinations and Preparation of Consolidated Financial Statements","4.8",0,0,0,1,"['Business', 'Business Essentials']"
"Introducción a los modelos de demanda de transporte","4.7",0,0,1,0,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
"Developing Android Apps with App Inventor","4.4",0,1,0,0,"['Computer Science', 'Mobile and Web Development']"
"Psychological First Aid","4.8",1,0,0,0,"['Health', 'Psychology']"
"Healing with the Arts","4.6",1,0,0,0,"['Personal Development', 'Personal Development']"
"Закон стартапа: юридические основы технологического бизнеса","None",0,0,1,0,"['Business', 'Entrepreneurship']"
"Cyber Threats and Attack Vectors","4.6",0,1,0,0,"['Information Technology', 'Security']"
"Elastic Cloud Infrastructure: Containers and Services en Français","None",0,0,1,0,"['Information Technology', 'Cloud Computing']"
"中医药与中华传统文化","4.3",1,0,0,0,"['Health', 'Public Health']"
"The Modern and the Postmodern (Part 1)","4.8",1,0,0,0,"['Arts and Humanities', 'Philosophy']"
"Capstone Project: Teaching Impacts of Technology","None",0,1,0,0,"['Social Sciences', 'Education']"
"Introduction to Enterprise Computing","4.8",0,1,0,0,"['Information Technology', 'Cloud Computing']"
"Цифровая обработка сигналов Часть 1. Сигналы и системы дискретного времени","None",0,0,1,0,"['Physical Science and Engineering', 'Electrical Engineering']"
"Emotions: a Philosophical Introduction","4.2",0,1,0,0,"['Arts and Humanities', 'Philosophy']"
"Recommendation Systems with TensorFlow on GCP","4.5",0,0,0,1,"['Data Science', 'Machine Learning']"
"How Google does Machine Learning em Português Brasileiro","4.8",0,0,1,0,"['Data Science', 'Machine Learning']"
"Налоги и налогообложение: специальные налоговые режимы","4.3",0,1,0,0,"['Business', 'Finance']"
"Chinese for HSK 3 PART I","4.7",0,0,1,0,"['Language Learning', 'Other Languages']"
"Scandinavian Film and Television","4.6",0,1,0,0,"['Arts and Humanities', 'Music and Art']"
"Business Process Management in Healthcare Organizations","4.5",0,1,0,0,"['Health', 'Healthcare Management']"
"Практика разрешения конфликтов. Я - семья - работа - общество","4.8",0,1,0,0,"['Personal Development', 'Personal Development']"
"ART of the MOOC: Activismo y Movimientos Sociales","5",1,0,0,0,"['Arts and Humanities', 'Music and Art']"
"On Premises Installation and Fundamentals with Google Cloud's Apigee API Platform","4.7",0,0,1,0,"['Computer Science', 'Software Development']"
"Qualitative Research","4.5",0,0,1,0,"['Business', 'Marketing']"
"Serverless Data Analysis with Google BigQuery and Cloud Dataflow 日本語版","4.4",0,0,1,0,"['Computer Science', 'Software Development']"
"The Search for Great Ideas: Harnessing creativity to empower innovation.","3.8",1,0,0,0,"['Business', 'Entrepreneurship']"
"L'avenir de la décision : connaître et agir en complexité","4.7",1,0,0,0,"['Business', 'Leadership and Management']"
"Measuring Causal Effects in the Social Sciences","4.2",1,0,0,0,"['Social Sciences', 'Governance and Society']"
"Elastic Cloud Infrastructure: Scaling and Automation em Português Brasileiro","4.9",0,0,1,0,"['Information Technology', 'Cloud Computing']"
"Material Behavior","4.7",1,0,0,0,"['Physical Science and Engineering', 'Mechanical Engineering']"
"Psychology of Popularity","4.6",0,1,0,0,"['Health', 'Psychology']"
"Introduction to Classical Music","4.9",1,0,0,0,"['Arts and Humanities', 'Music and Art']"
"Multiplatform Mobile App Development with NativeScript","4.5",0,0,1,0,"['Computer Science', 'Mobile and Web Development']"
"El arte de negociar","4.5",1,0,0,0,"['Business', 'Leadership and Management']"
"Positive Psychology: Resilience Skills","4.9",0,1,0,0,"['Health', 'Psychology']"
